Date	Wed Feb 19 18:29:42 EST 2025
ANNOTATED_GENES	EN2, SALL1, WT1, MSX1, GFI1, POU4F2, BARHL2, LHX9, TBX2, HOXA2, HOXB4, DLX5, MEIS1, BHLHE22, DLX1, GATA2, LEF1, ISL2, LBX1, HOXA4, ZIC3, ONECUT2, ALX4, BARX1, HOXB3, SP9, EN1, EBF3, PRDM6, TFAP2D, HOXD4, HOXB2, GSC, HOXA6, TLX3, OSR2, POU4F3, IRX5, PAX5, EOMES, ZFHX3, HOXD3, LHX6, SIM2, FEZF1, MECOM, SIX1, ZIC2, GBX2, ADCYAP1, CBX8, RAX, PRDM1, HOXA10, CCNC, PITX1, HAND1, HOXB9, EVX2, GSX2, PTF1A, FERD3L, NKX6-1, HOXC13, EMX2, CBX2, RUNX3, HOXC4, SKOR2, HAND2, TBR1, TFAP2B, NEUROG2, HOXB5, DMRTA2, TWIST1, POU4F1, PAX9, OLIG3, SOX14, HOXD8, FOXC2, HOXC5, DLX6, HOXB1, HOXC11, LMX1A, HEY2, TCF21, HOXD13, SOX3, TGIF1, TBX15, GATA4, TBX20, FOXB2, SHOX2, DMRT1, UNCX, SIX2, HOXD11, FOXL1, DMBX1, ALX1, LHX5, ZIC4, PAX2, SIX6, NFIB, SOX1, FOXB1, NKX2-4, MEIS2, SOX2, TAL1, ZIC5, TBX5, ZFHX4, TBX18, ZIC1, GATA3, FOXD3, MSX2, SOX21, PDX1, ARX, HOXA5, DMRT2, HOXA1, HOXA9, PAX3, NR2E1, SIM1, HOXC12, FLI1, OTX2, EBF1, FOXE1, NR5A2, DLX2, VAX2, SP8, HOXA3, PAX8, NR4A2, FOXL2, IRX3, HOXB7, MCIDAS, FOXF1, HOXA13, DBX1, HOXB8, NKX2-6, LHX2, SKOR1, PAX6, LMX1B, HOXC9, HOXB6, FOXD1, ONECUT1, HOXC10, CDX2, SATB2, HMX3, ISL1, PHOX2B, HLX, FEZF2, NR2F2, LHX8, GATA6, PITX2, VGLL2, SOX17, TBX3, FOXD2, HOXD12, NKX2-5, BARHL1, LHX4, HOXC8, VAX1, PPRC1, ZNF883, NKX2-3, HOXD9, OLIG1, FOXA1, OLIG2, HOXD1, MNX1, OTP, SIX3, PROX1, DMRT3, HOXA11, PAX7, HOXD10, BSX, FOXA2, HIST1H1B, HOXA7, EBF2

-- 4 of 2082--
GOID	GO:0003002
TERM	regionalization
P-VALUE	2.30567381502103e-59
CORRECTED P-VALUE	4.80041288287379e-56
NUM_ANNOTATIONS	90 (of 418)
ANNOTATED_GENES	MSX1, WT1, PAX2, SOX1, TBX2, FOXB1, TBX18, HOXA2, HOXB4, MSX2, LBX1, LEF1, DLX1, BARX1, ALX4, ZIC3, HOXA4, DMRT2, EN1, HOXA5, HOXB3, HOXD4, HOXB2, HOXA9, HOXA6, GSC, VAX2, DLX2, OTX2, PAX8, HOXA3, SP8, HOXB7, IRX3, EOMES, HOXB8, DBX1, FOXF1, HOXD3, PAX6, LHX2, HOXB6, LMX1B, HOXC9, FEZF1, FOXD1, GBX2, SIX1, ISL1, HOXC10, CDX2, HOXA10, FEZF2, GSX2, NR2F2, HAND1, HOXB9, PITX2, PCDH8, RNF220, HAND2, HOXC4, HOXC13, EMX2, NKX2-5, DMRTA2, HOXB5, TBX3, SOX17, TBR1, HOXC8, HOXD9, FOXC2, HOXD8, HOXC5, HOXB1, FOXA1, HEY2, HOXC11, HOXD13, HOXA11, TBX20, DMRT3, GATA4, SIX3, SIX2, HOXD11, FOXA2, HOXD10, HOXA7

-- 5 of 2082--
GOID	GO:0006366
TERM	transcription by RNA polymerase II
P-VALUE	3.85253636351888e-57
CORRECTED P-VALUE	8.0209807088463e-54
NUM_ANNOTATIONS	205 (of 2668)
ANNOTATED_GENES	HOXC4, RUNX3, HAND2, SKOR2, HOXC13, EMX2, CBX2, DMRTA2, TBR1, TFAP2B, NEUROG2, HOXB5, TWIST1, GBX2, ADCYAP1, SIX1, ZIC2, CBX8, HOXA10, CCNC, PITX1, PRDM1, RAX, PTF1A, FERD3L, GSX2, NKX6-1, HOXB9, HAND1, EVX2, GATA4, TBX20, TGIF1, TBX15, UNCX, HOXD11, SIX2, FOXB2, SHOX2, DMRT1, FOXL1, DMBX1, ALX1, LHX5, SOX14, HOXD8, OLIG3, FOXC2, PAX9, POU4F1, HOXC5, HOXB1, DLX6, LMX1A, HEY2, TCF21, HOXC11, SOX3, HOXD13, LBX1, ISL2, DLX1, GATA2, BHLHE22, LEF1, ALX4, BARX1, HOXA4, ZIC3, ONECUT2, EN1, EBF3, HOXB3, SP9, TFAP2D, HOXD4, HOXB2, PRDM6, WT1, SALL1, MSX1, EN2, GFI1, POU4F2, BARHL2, LHX9, TBX2, MEIS1, HOXA2, DLX5, HOXB4, ZFHX3, EOMES, HOXD3, LHX6, SIM2, MECOM, FEZF1, TLX3, GSC, HOXA6, POU4F3, IRX5, OSR2, PAX5, PITX2, VGLL2, FOXD2, NKX2-5, BARHL1, HOXD12, SOX17, TBX3, LHX4, HOXC8, FOXD1, SATB2, HMX3, HLX, PHOX2B, ISL1, ONECUT1, HOXC10, CDX2, FEZF2, GATA6, NR2F2, LHX8, DMRT3, PROX1, HOXA11, SIX3, PAX7, FOXA2, HOXD10, BSX, EBF2, HOXA7, HIST1H1B, NKX2-3, HOXD9, VAX1, PPRC1, ZNF883, OLIG1, FOXA1, OLIG2, HOXD1, MNX1, OTP, FOXD3, MSX2, ZIC1, GATA3, PDX1, SOX21, HOXA5, DMRT2, HOXA1, ARX, PAX3, HOXA9, SIX6, PAX2, ZIC4, SOX1, NFIB, SOX2, FOXB1, NKX2-4, MEIS2, ZFHX4, TBX18, TBX5, TAL1, ZIC5, FOXL2, IRX3, HOXB7, DBX1, HOXA13, NKX2-6, HOXB8, MCIDAS, FOXF1, SKOR1, PAX6, LHX2, HOXB6, HOXC9, LMX1B, SIM1, NR2E1, FLI1, HOXC12, DLX2, NR5A2, VAX2, OTX2, FOXE1, EBF1, HOXA3, PAX8, NR4A2, SP8

-- 6 of 2082--
GOID	GO:0048562
TERM	embryonic organ morphogenesis
P-VALUE	2.17850287179083e-51
CORRECTED P-VALUE	4.53564297906851e-48
NUM_ANNOTATIONS	72 (of 295)
ANNOTATED_GENES	HOXD9, FOXC2, DLX6, HOXB1, TCF21, HOXC11, HOXA11, TBX20, PROX1, GATA4, TBX15, SIX3, SIX2, SHOX2, HOXD10, ALX1, HOXA7, GBX2, SIX1, HLX, HMX3, SATB2, HAND1, HOXB9, HAND2, MYO3B, HOXC4, NKX2-5, TBX3, HOXB5, SOX17, TWIST1, HOXA6, GSC, IRX5, POU4F3, OSR2, VAX2, DLX2, FOXE1, PAX5, HOXA3, PAX8, HOXB7, FOXL2, HOXB8, FOXF1, HOXD3, PAX6, HOXB6, HOXC9, MSX1, PAX2, TBX2, TBX18, DLX5, HOXB4, HOXA2, LBX1, GATA3, ZIC1, GATA2, ALX4, ZIC3, HOXA4, HOXA1, HOXA5, HOXB3, HOXD4, HOXB2, HOXA9, GJB6

-- 7 of 2082--
GOID	GO:0048598
TERM	embryonic morphogenesis
P-VALUE	4.23379786252482e-51
CORRECTED P-VALUE	8.81476714977668e-48
NUM_ANNOTATIONS	96 (of 600)
ANNOTATED_GENES	FOXF1, HOXD3, HOXB8, HOXA13, HOXB7, IRX3, EOMES, FOXL2, HOXC9, HOXB6, LHX2, PAX6, OSR2, IRX5, POU4F3, HOXA6, GSC, SP8, PAX8, HOXA3, OTX2, FOXE1, PAX5, VAX2, DLX2, HOXA4, ZIC3, ALX4, PDX1, GATA3, LEF1, ZIC1, GATA2, MSX2, LBX1, HOXA9, STK3, GJB6, HOXB2, HOXD4, SP9, HOXB3, HOXA1, HOXA5, EN1, PAX2, MSX1, SALL1, HOXB4, HOXA2, DLX5, TAL1, TBX5, TBX18, TBX2, SOX2, SHOX2, SIX2, TBX15, SIX3, TBX20, HOXA11, PROX1, GATA4, ALX1, HOXA7, HOXD10, FOXA2, DLX6, HOXB1, HOXD9, FOXC2, HOXD13, HOXC11, TCF21, HAND2, HOXC4, MYO3B, PCDH8, TWIST1, HOXB5, TBX3, SOX17, HOXD12, NKX2-5, HOXC10, HLX, HMX3, SATB2, SIX1, GBX2, HOXB9, HAND1, GATA6, PITX1, HOXA10

-- 8 of 2082--
GOID	GO:0048568
TERM	embryonic organ development
P-VALUE	5.31259280052426e-51
CORRECTED P-VALUE	1.10608182106915e-47
NUM_ANNOTATIONS	85 (of 451)
ANNOTATED_GENES	FOXL2, HOXB7, EOMES, NKX2-6, HOXB8, HOXD3, FOXF1, PAX6, HOXB6, HOXC9, GSC, HOXA6, POU4F3, IRX5, OSR2, DLX2, VAX2, PAX5, FOXE1, PAX8, HOXA3, LBX1, GATA2, ZIC1, LEF1, GATA3, ALX4, HOXA4, ZIC3, EN1, HOXA5, HOXA1, HOXB3, HOXD4, HOXB2, STK3, GJB6, HOXA9, SALL1, MSX1, PAX2, EN2, TBX2, TBX18, TAL1, HOXB4, HOXA2, DLX5, GATA4, TBX20, HOXA11, PROX1, TBX15, SIX3, SIX2, SHOX2, HOXD10, HOXA7, ALX1, FOXC2, HOXD9, HOXB1, DLX6, HEY2, TCF21, HOXC11, PITX2, HOXC4, MYO3B, HAND2, NKX2-5, SOX17, HOXB5, TBX3, TWIST1, GBX2, SIX1, SATB2, HMX3, HLX, CDX2, PRDM1, HOXB9, NR2F2, HAND1

-- 9 of 2082--
GOID	GO:0009887
TERM	animal organ morphogenesis
P-VALUE	1.39068040852717e-48
CORRECTED P-VALUE	2.89539661055356e-45
NUM_ANNOTATIONS	118 (of 1006)
ANNOTATED_GENES	HOXD13, HOXC11, HEY2, TCF21, HOXB1, DLX6, FOXA1, PAX9, POU4F1, HOXD9, HOXD8, NKX2-3, FOXC2, ALX1, HOXA7, HOXD10, BSX, SHOX2, HOXD11, SIX2, UNCX, SIX3, TBX15, DMRT3, TBX20, PROX1, HOXA11, GATA4, LHX8, HOXB9, HAND1, NKX6-1, GATA6, PTF1A, GSX2, PRDM1, CDX2, HLX, ISL1, SATB2, HMX3, SIX1, FOXD1, GBX2, TWIST1, HOXC8, LHX4, TFAP2B, TBX3, HOXB5, TBR1, SOX17, NKX2-5, EMX2, HOXC13, HAND2, MYO3B, HOXC4, PITX2, HOXA3, PAX8, FOXE1, PAX5, VAX2, NR5A2, DLX2, FLI1, OSR2, IRX5, POU4F3, HOXA6, GSC, HOXC9, HOXB6, PAX6, FOXF1, HOXD3, HOXB8, HOXA13, IRX3, HOXB7, FOXL2, HOXB4, HOXA2, DLX5, TBX18, TBX5, MEIS1, MEIS2, TBX2, NFIB, LHX9, SOX1, PAX2, SIX6, MSX1, WT1, SALL1, GJB6, HOXA9, HOXD4, HOXB2, PAX3, HOXB3, HOXA1, HOXA5, HOXA4, ZIC3, ONECUT2, ALX4, PDX1, GATA3, LEF1, ZIC1, GATA2, DLX1, MSX2, LBX1

-- 10 of 2082--
GOID	GO:0009790
TERM	embryo development
P-VALUE	1.16911874719604e-47
CORRECTED P-VALUE	2.43410523166215e-44
NUM_ANNOTATIONS	122 (of 1101)
ANNOTATED_GENES	RNF220, HAND2, HOXC4, MYO3B, PITX2, PCDH8, TWIST1, NKX2-5, HOXD12, HOXB5, TBX3, SOX17, ISL1, HLX, SATB2, HMX3, HOXC10, CDX2, GBX2, SIX1, GATA6, FERD3L, NR2F2, HAND1, HOXB9, PITX1, HOXA10, PRDM1, NOLC1, SIX2, SEC24C, SHOX2, HOXA11, TBX20, PROX1, GATA4, SIX3, TBX15, ALX1, HOXA7, FOXA2, HOXD10, HOXC5, HOXB1, DLX6, FOXA1, HOXD9, HOXD8, FOXC2, HOXD13, TCF21, HOXD1, HEY2, HOXC11, NUP133, PDX1, ALX4, HOXA4, ZIC3, MSX2, LBX1, FOXD3, GATA3, LEF1, GATA2, ZIC1, DLX1, HOXB2, HOXD4, STK3, GJB6, HOXA9, DMRT2, HOXA1, EN1, HOXA5, SP9, HOXB3, MSX1, SALL1, WT1, PAX2, EN2, TBX18, TBX5, MEIS1, DLX5, HOXB4, HOXA2, TAL1, SOX2, TBX2, MEIS2, FOXB1, NKX2-6, HOXB8, HOXA13, FOXF1, HOXD3, EOMES, IRX3, HOXB7, FOXL2, HOXB6, HOXC9, PAX6, SIM2, LHX2, IRX5, POU4F3, OSR2, HOXA6, GSC, PAX8, HOXA3, SP8, VAX2, DLX2, NR5A2, OTX2, FOXE1, PAX5

-- 11 of 2082--
GOID	GO:0009952
TERM	anterior/posterior pattern specification
P-VALUE	1.89900588820035e-45
CORRECTED P-VALUE	3.95373025923313e-42
NUM_ANNOTATIONS	59 (of 214)
ANNOTATED_GENES	HOXD13, HOXA3, OTX2, HOXC11, HEY2, HOXB1, HOXC5, HOXA6, HOXD9, FOXC2, HOXD8, HOXC9, FEZF1, HOXA7, HOXB6, HOXD10, PAX6, FOXA2, FOXF1, HOXD3, HOXB8, SIX2, HOXB7, HOXA11, GATA4, HOXB4, HOXA2, NR2F2, HOXB9, TBX18, FEZF2, FOXB1, HOXA10, HOXC10, CDX2, GBX2, MSX1, WT1, HOXA9, HOXC8, HOXD4, HOXB2, TBX3, HOXB3, HOXB5, SOX17, DMRT2, HOXA5, EN1, ZIC3, HOXA4, EMX2, HOXC13, BARX1, HOXC4, ALX4, LEF1, PCDH8, MSX2

-- 12 of 2082--
GOID	GO:0006355
TERM	regulation of DNA-templated transcription
P-VALUE	6.65608513273323e-45
CORRECTED P-VALUE	1.38579692463506e-41
NUM_ANNOTATIONS	213 (of 3393)
ANNOTATED_GENES	MEIS2, FOXB1, NKX2-4, SOX2, ZIC5, TAL1, TBX18, ZFHX4, TBX5, ZIC4, PAX2, SIX6, NFIB, SOX1, ARX, HOXA1, DMRT2, HOXA5, HOXA9, PAX3, GATA3, ZIC1, MSX2, FOXD3, SOX21, PDX1, FOXE1, OTX2, EBF1, VAX2, DLX2, NR5A2, SP8, NR4A2, PAX8, HOXA3, SIM1, NR2E1, HOXC12, FLI1, LHX2, PAX6, SKOR1, HOXC9, LMX1B, HOXB6, IRX3, HOXB7, FOXL2, FOXF1, MCIDAS, HOXB8, NKX2-6, DBX1, HOXA13, FEZF2, LHX8, NR2F2, GATA6, FOXD1, INO80B, HOXC10, CDX2, PRKCH, ONECUT1, ISL1, PHOX2B, HLX, SATB2, HMX3, TBX3, SOX17, HOXD12, NKX2-5, CDKN2A, BARHL1, FOXD2, HOXC8, LHX4, PITX2, RNF220, VGLL2, HOXD1, OTP, MNX1, ZNF883, VAX1, PPRC1, HOXD9, NKX2-3, OLIG2, OLIG1, FOXA1, BSX, HOXD10, C14orf39, FOXA2, HOXA7, HIST1H1B, EBF2, SIX3, DMRT3, PROX1, HOXA11, PAX7, NOLC1, TBX2, DLX5, HOXA2, HOXB4, MEIS1, EN2, MSX1, SALL1, WT1, BARHL2, LHX9, POU4F2, GFI1, HOXB3, SP9, EBF3, EN1, PRDM6, STK3, HOXD4, TFAP2D, HOXB2, LEF1, GATA2, BHLHE22, DLX1, ISL2, LBX1, ONECUT2, ZIC3, HOXA4, BARX1, ALX4, PAX5, ZNF503, HOXA6, GSC, TLX3, OSR2, IRX5, POU4F3, SIM2, LHX6, FEZF1, MECOM, EOMES, ZFHX3, HOXD3, RAX, PRDM1, PITX1, CCNC, HOXA10, HAND1, EVX2, HOXB9, NKX6-1, GSX2, PTF1A, FERD3L, ZIC2, SIX1, ADCYAP1, GBX2, CBX8, TFAP2B, HOXB5, NEUROG2, TBR1, DMRTA2, TWIST1, CBX2, HOXC13, EMX2, HAND2, SKOR2, RUNX3, HOXC4, HOXC11, TCF21, HEY2, LMX1A, HOXD13, SOX3, POU4F1, PAX9, SOX14, OLIG3, HOXD8, FOXC2, HOXC5, DLX6, HOXB1, FOXL1, LHX5, ALX1, DMBX1, TBX15, TGIF1, TBX20, GATA4, FOXB2, SHOX2, DMRT1, SIX2, HOXD11, UNCX

-- 13 of 2082--
GOID	GO:0045944
TERM	positive regulation of transcription by RNA polymerase II
P-VALUE	1.17407575467525e-44
CORRECTED P-VALUE	2.44442572123388e-41
NUM_ANNOTATIONS	124 (of 1214)
ANNOTATED_GENES	HOXD10, BSX, FOXA2, ALX1, EBF2, HOXA7, SIX3, TBX20, PROX1, GATA4, DMRT1, SIX2, HOXC11, HEY2, TCF21, LMX1A, HOXD13, SOX3, PAX9, PPRC1, POU4F1, HOXD9, FOXC2, NKX2-3, HOXD8, HOXB1, FOXA1, TBX3, TFAP2B, HOXB5, TBR1, SOX17, BARHL1, NKX2-5, FOXD2, TWIST1, LHX4, PITX2, HOXC13, HAND2, VGLL2, HOXC4, RAX, FEZF2, PITX1, CCNC, HOXA10, NR2F2, HAND1, HOXB9, GATA6, NKX6-1, PTF1A, SIX1, GBX2, FOXD1, ADCYAP1, HOXC10, CDX2, ONECUT1, ISL1, PHOX2B, SATB2, LHX2, PAX6, LMX1B, MECOM, IRX3, HOXB7, EOMES, FOXL2, ZFHX3, FOXF1, MCIDAS, HOXD3, NKX2-6, HOXA13, OTX2, PAX5, NR5A2, DLX2, NR4A2, PAX8, NR2E1, FLI1, OSR2, POU4F3, HOXB3, HOXA1, DMRT2, HOXA5, EN1, TFAP2D, HOXB2, HOXD4, PAX3, GATA3, LEF1, GATA2, ZIC1, DLX1, FOXD3, ZIC3, ONECUT2, SOX21, PDX1, ALX4, TBX2, MEIS2, SOX2, HOXA2, HOXB4, TAL1, TBX5, MEIS1, PAX2, EN2, MSX1, WT1, SALL1, NFIB, BARHL2, SOX1, POU4F2

-- 14 of 2082--
GOID	GO:2001141
TERM	regulation of RNA biosynthetic process
P-VALUE	1.58627639491849e-44
CORRECTED P-VALUE	3.3026274542203e-41
NUM_ANNOTATIONS	213 (of 3411)
