GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006325	chromatin organization	15	256	5.86%	570	18890	3.02%	CBX2, CBX8, FOXA1, FOXA2, GATA3, HIST1H1B, INO80B, LHX2, MECOM, PRDM6, SATB2, SOX1, SOX2, TAL1, ZDBF2
GO:0003013	circulatory system process	15	256	5.86%	590	18890	3.12%	FLI1, FOXC2, GATA4, GATA6, HEY2, HOXB2, IRX3, ISL1, NKX2-5, NR2F2, SHOX2, TBX18, TBX2, TBX20, TBX5
GO:0000278	mitotic cell cycle	11	256	4.30%	880	18890	4.66%	CCNO, CDKN2A, DMRT1, FOXA1, HOXA13, MCIDAS, MEIS2, NOLC1, PAX6, PHOX2B, TAL1
GO:0006351	DNA-templated transcription	11	256	4.30%	414	18890	2.19%	GTF3C2, HOXA9, HOXB9, HOXC9, HOXD3, HOXD9, NKX6-1, NR4A2, PAX5, PAX8, TAL1
GO:0034330	cell junction organization	9	256	3.52%	690	18890	3.65%	GJB2, GJB6, IRX3, LMX1A, PCDH8, POU4F1, PRKCH, SIX1, TBX5
GO:0003012	muscle system process	8	256	3.12%	423	18890	2.24%	GATA4, GATA6, HAND2, HEY2, NKX2-5, TBX2, TBX20, TBX3
GO:0098542	defense response to other organism	7	256	2.73%	1221	18890	6.46%	GATA3, GATA6, GFI1, NOXA, PRDM1, SLFN13, ULBP1
GO:0006886	intracellular protein transport	7	256	2.73%	650	18890	3.44%	COPZ2, NOLC1, NUP133, SEC24C, SIX2, TMEM30B, ZIC1
GO:0007010	cytoskeleton organization	7	256	2.73%	1448	18890	7.67%	FZD10, MCIDAS, NKX2-5, PAX6, PGM5, PROX1, SPAG6
GO:0016192	vesicle-mediated transport	7	256	2.73%	1616	18890	8.55%	CDX2, COPZ2, FOXF1, GATA2, SEC24C, SLC17A6, WDR41
GO:0005975	carbohydrate metabolic process	7	256	2.73%	544	18890	2.88%	FOXA2, MOGS, NOXA, ONECUT1, PGAM1, PGM5, TFAP2B
GO:0006629	lipid metabolic process	6	256	2.34%	1339	18890	7.09%	GATA6, GFI1, NKX2-3, NR5A2, PROX1, TWIST1
GO:0055085	transmembrane transport	6	256	2.34%	1513	18890	8.01%	GJA3, GJB2, GJB6, POU4F2, SLC17A6, TWIST1
GO:0042060	wound healing	6	256	2.34%	433	18890	2.29%	FOXA2, FOXC2, GATA2, GATA4, MSX2, SFTA3
GO:0044782	cilium organization	5	256	1.95%	413	18890	2.19%	CCNO, MCIDAS, ONECUT1, ONECUT2, SPAG6
GO:0065003	protein-containing complex assembly	5	256	1.95%	1537	18890	8.14%	HEY2, HIST1H1B, ISL1, OTX2, TAL1
GO:1901135	carbohydrate derivative metabolic process	5	256	1.95%	985	18890	5.21%	ATP5F1EP2, FOXL1, HS3ST3B1, MOGS, PGAM1
GO:0007163	establishment or maintenance of cell polarity	5	256	1.95%	228	18890	1.21%	CDX2, FOXF1, GATA3, LHX2, PAX6
GO:0006913	nucleocytoplasmic transport	5	256	1.95%	318	18890	1.68%	NOLC1, NUP133, RSRC1, SIX2, ZIC1
GO:0030198	extracellular matrix organization	4	256	1.56%	315	18890	1.67%	FOXC2, FOXF1, NR2E1, WT1
GO:0006310	DNA recombination	4	256	1.56%	336	18890	1.78%	C14orf39, HIST1H1B, INO80B, LEF1
GO:0003016	respiratory system process	4	256	1.56%	39	18890	0.21%	GSX2, HOXA5, PHOX2B, TLX3
GO:0050886	endocrine process	4	256	1.56%	89	18890	0.47%	FOXD1, FOXL2, GATA3, TBX3
GO:0061024	membrane organization	4	256	1.56%	871	18890	4.61%	GATA2, NOXA, SEC24C, TMEM30B
GO:0006954	inflammatory response	4	256	1.56%	795	18890	4.21%	CUEDC2, FOXF1, GATA3, ISL1
GO:0140013	meiotic nuclear division	4	256	1.56%	187	18890	0.99%	C14orf39, DMRT1, MSX1, MSX2
GO:0016071	mRNA metabolic process	4	256	1.56%	673	18890	3.56%	IGF2BP1, IGF2BP3, NBDY, RSRC1
GO:0006260	DNA replication	3	256	1.17%	277	18890	1.47%	INO80B, MCIDAS, NFIB
GO:0006575	modified amino acid metabolic process	3	256	1.17%	200	18890	1.06%	FOXE1, GATA3, PAX8
GO:0006281	DNA repair	3	256	1.17%	581	18890	3.08%	C14orf39, INO80B, TWIST1
GO:0030163	protein catabolic process	3	256	1.17%	942	18890	4.99%	CDC20B, NOXA, SOX17
GO:0006914	autophagy	2	256	0.78%	540	18890	2.86%	GATA4, WDR41
GO:0140014	mitotic nuclear division	2	256	0.78%	275	18890	1.46%	DMRT1, HOXA13
GO:0006520	amino acid metabolic process	2	256	0.78%	302	18890	1.60%	GAD1, GAD2
GO:0006091	generation of precursor metabolites and energy	2	256	0.78%	479	18890	2.54%	ATP5F1EP2, PGAM1
GO:0055086	nucleobase-containing small molecule metabolic process	2	256	0.78%	683	18890	3.62%	ATP5F1EP2, PGAM1
GO:0006790	sulfur compound metabolic process	2	256	0.78%	323	18890	1.71%	HS3ST3B1, PAX8
GO:0006399	tRNA metabolic process	2	256	0.78%	193	18890	1.02%	GTF3C2, SLFN13
GO:0006457	protein folding	1	256	0.39%	213	18890	1.13%	MOGS
GO:0006766	vitamin metabolic process	1	256	0.39%	114	18890	0.60%	GFI1
GO:0002181	cytoplasmic translation	1	256	0.39%	152	18890	0.80%	IGF2BP1
GO:0007005	mitochondrion organization	1	256	0.39%	400	18890	2.12%	NOXA
GO:0006486	protein glycosylation	1	256	0.39%	223	18890	1.18%	MOGS
GO:0007059	chromosome segregation	1	256	0.39%	421	18890	2.23%	C14orf39
GO:0003014	renal system process	1	256	0.39%	123	18890	0.65%	TFAP2B
GO:0042254	ribosome biogenesis	1	256	0.39%	303	18890	1.60%	NOLC1
GO:0007018	microtubule-based movement	1	256	0.39%	412	18890	2.18%	SPAG6
GO:0072659	protein localization to plasma membrane	1	256	0.39%	282	18890	1.49%	PRKCH
GO:0031047	regulatory ncRNA-mediated gene silencing	1	256	0.39%	123	18890	0.65%	LIN28B
GO:0051604	protein maturation	1	256	0.39%	524	18890	2.77%	MOGS
GO:0098754	detoxification	1	256	0.39%	138	18890	0.73%	GPX8
GO:0071554	cell wall organization or biogenesis	0	256	0%	0	18890	0.00%	none
GO:0071941	nitrogen cycle metabolic process	0	256	0%	12	18890	0.06%	none
GO:0015979	photosynthesis	0	256	0%	0	18890	0.00%	none
GO:0061007	hepaticobiliary system process	0	256	0%	0	18890	0.00%	none
GO:0007040	lysosome organization	0	256	0%	101	18890	0.53%	none
GO:0032200	telomere organization	0	256	0%	155	18890	0.82%	none
GO:0140053	mitochondrial gene expression	0	256	0%	162	18890	0.86%	none
GO:0007031	peroxisome organization	0	256	0%	35	18890	0.19%	none
GO:0000910	cytokinesis	0	256	0%	186	18890	0.98%	none
GO:0016073	snRNA metabolic process	0	256	0%	64	18890	0.34%	none
GO:0022600	digestive system process	0	256	0%	105	18890	0.56%	none

