	chrom1	start1	end1	chrom2	start2	end2	region1	region2	contact_pair	dist_from_diag	pixel_size	gene1	gene2
13	chr1	47230000	47240000	chr1	50420000	50430000	('chr1', 47230000, 47240000)	('chr1', 50420000, 50430000)	(('chr1', 47230000, 47240000), ('chr1', 50420000, 50430000))	3190000.0	100000000	TAL1,AL135960.1	DMRTA2,AL049637.2
14	chr1	47230000	47240000	chr1	63320000	63330000	('chr1', 47230000, 47240000)	('chr1', 63320000, 63330000)	(('chr1', 47230000, 47240000), ('chr1', 63320000, 63330000))	16090000.0	100000000	TAL1,AL135960.1	FOXD3,FOXD3-AS1,MIR6068
15	chr1	47230000	47240000	chr1	75120000	75130000	('chr1', 47230000, 47240000)	('chr1', 75120000, 75130000)	(('chr1', 47230000, 47240000), ('chr1', 75120000, 75130000))	27890000.0	100000000	TAL1,AL135960.1	LHX8,AC099786.2,AC099786.3
16	chr1	47230000	47240000	chr1	90720000	90730000	('chr1', 47230000, 47240000)	('chr1', 90720000, 90730000)	(('chr1', 47230000, 47240000), ('chr1', 90720000, 90730000))	43490000.0	100000000	TAL1,AL135960.1	BARHL2
17	chr1	47230000	47240000	chr1	92480000	92490000	('chr1', 47230000, 47240000)	('chr1', 92480000, 92490000)	(('chr1', 47230000, 47240000), ('chr1', 92480000, 92490000))	45250000.0	100000000	TAL1,AL135960.1	GFI1
18	chr1	47230000	47240000	chr1	118990000	119000000	('chr1', 47230000, 47240000)	('chr1', 118990000, 119000000)	(('chr1', 47230000, 47240000), ('chr1', 118990000, 119000000))	71760000.0	100000000	TAL1,AL135960.1	TBX15,AL139420.2
19	chr1	47230000	47240000	chr7	155420000	155520000	('chr1', 47230000, 47240000)	('chr7', 155420000, 155520000)	(('chr1', 47230000, 47240000), ('chr7', 155420000, 155520000))	108235000.0	1000000000	TAL1,AL135960.1	EN2,CNPY1,AC008060.3,AC008060.2
20	chr1	47430000	47440000	chr1	47710000	47720000	('chr1', 47430000, 47440000)	('chr1', 47710000, 47720000)	(('chr1', 47430000, 47440000), ('chr1', 47710000, 47720000))	280000.0	100000000	FOXD2,FOXD2-AS1	-
21	chr1	47430000	47440000	chr1	50420000	50430000	('chr1', 47430000, 47440000)	('chr1', 50420000, 50430000)	(('chr1', 47430000, 47440000), ('chr1', 50420000, 50430000))	2990000.0	100000000	FOXD2,FOXD2-AS1	DMRTA2,AL049637.2
22	chr1	47430000	47440000	chr1	63320000	63330000	('chr1', 47430000, 47440000)	('chr1', 63320000, 63330000)	(('chr1', 47430000, 47440000), ('chr1', 63320000, 63330000))	15890000.0	100000000	FOXD2,FOXD2-AS1	FOXD3,FOXD3-AS1,MIR6068
23	chr1	47430000	47440000	chr1	75120000	75130000	('chr1', 47430000, 47440000)	('chr1', 75120000, 75130000)	(('chr1', 47430000, 47440000), ('chr1', 75120000, 75130000))	27690000.0	100000000	FOXD2,FOXD2-AS1	LHX8,AC099786.2,AC099786.3
24	chr1	47430000	47440000	chr1	90720000	90730000	('chr1', 47430000, 47440000)	('chr1', 90720000, 90730000)	(('chr1', 47430000, 47440000), ('chr1', 90720000, 90730000))	43290000.0	100000000	FOXD2,FOXD2-AS1	BARHL2
25	chr1	47430000	47440000	chr1	118990000	119000000	('chr1', 47430000, 47440000)	('chr1', 118990000, 119000000)	(('chr1', 47430000, 47440000), ('chr1', 118990000, 119000000))	71560000.0	100000000	FOXD2,FOXD2-AS1	TBX15,AL139420.2
26	chr1	47710000	47720000	chr1	50420000	50430000	('chr1', 47710000, 47720000)	('chr1', 50420000, 50430000)	(('chr1', 47710000, 47720000), ('chr1', 50420000, 50430000))	2710000.0	100000000	-	DMRTA2,AL049637.2
27	chr1	47710000	47720000	chr1	63320000	63330000	('chr1', 47710000, 47720000)	('chr1', 63320000, 63330000)	(('chr1', 47710000, 47720000), ('chr1', 63320000, 63330000))	15610000.0	100000000	-	FOXD3,FOXD3-AS1,MIR6068
28	chr1	47710000	47720000	chr1	90720000	90730000	('chr1', 47710000, 47720000)	('chr1', 90720000, 90730000)	(('chr1', 47710000, 47720000), ('chr1', 90720000, 90730000))	43010000.0	100000000	-	BARHL2
29	chr1	47710000	47720000	chr1	118990000	119000000	('chr1', 47710000, 47720000)	('chr1', 118990000, 119000000)	(('chr1', 47710000, 47720000), ('chr1', 118990000, 119000000))	71280000.0	100000000	-	TBX15,AL139420.2
30	chr1	50420000	50430000	chr1	63320000	63330000	('chr1', 50420000, 50430000)	('chr1', 63320000, 63330000)	(('chr1', 50420000, 50430000), ('chr1', 63320000, 63330000))	12900000.0	100000000	DMRTA2,AL049637.2	FOXD3,FOXD3-AS1,MIR6068
31	chr1	50420000	50430000	chr1	75120000	75130000	('chr1', 50420000, 50430000)	('chr1', 75120000, 75130000)	(('chr1', 50420000, 50430000), ('chr1', 75120000, 75130000))	24700000.0	100000000	DMRTA2,AL049637.2	LHX8,AC099786.2,AC099786.3
32	chr1	50420000	50430000	chr1	90720000	90730000	('chr1', 50420000, 50430000)	('chr1', 90720000, 90730000)	(('chr1', 50420000, 50430000), ('chr1', 90720000, 90730000))	40300000.0	100000000	DMRTA2,AL049637.2	BARHL2
33	chr1	50420000	50430000	chr1	118990000	119000000	('chr1', 50420000, 50430000)	('chr1', 118990000, 119000000)	(('chr1', 50420000, 50430000), ('chr1', 118990000, 119000000))	68570000.0	100000000	DMRTA2,AL049637.2	TBX15,AL139420.2
34	chr1	63320000	63330000	chr1	75120000	75130000	('chr1', 63320000, 63330000)	('chr1', 75120000, 75130000)	(('chr1', 63320000, 63330000), ('chr1', 75120000, 75130000))	11800000.0	100000000	FOXD3,FOXD3-AS1,MIR6068	LHX8,AC099786.2,AC099786.3
35	chr1	63320000	63330000	chr1	90720000	90730000	('chr1', 63320000, 63330000)	('chr1', 90720000, 90730000)	(('chr1', 63320000, 63330000), ('chr1', 90720000, 90730000))	27400000.0	100000000	FOXD3,FOXD3-AS1,MIR6068	BARHL2
36	chr1	63320000	63330000	chr1	92480000	92490000	('chr1', 63320000, 63330000)	('chr1', 92480000, 92490000)	(('chr1', 63320000, 63330000), ('chr1', 92480000, 92490000))	29160000.0	100000000	FOXD3,FOXD3-AS1,MIR6068	GFI1
37	chr1	63320000	63330000	chr1	118990000	119000000	('chr1', 63320000, 63330000)	('chr1', 118990000, 119000000)	(('chr1', 63320000, 63330000), ('chr1', 118990000, 119000000))	55670000.0	100000000	FOXD3,FOXD3-AS1,MIR6068	TBX15,AL139420.2
38	chr1	75120000	75130000	chr1	90720000	90730000	('chr1', 75120000, 75130000)	('chr1', 90720000, 90730000)	(('chr1', 75120000, 75130000), ('chr1', 90720000, 90730000))	15600000.0	100000000	LHX8,AC099786.2,AC099786.3	BARHL2
39	chr1	75120000	75130000	chr1	92480000	92490000	('chr1', 75120000, 75130000)	('chr1', 92480000, 92490000)	(('chr1', 75120000, 75130000), ('chr1', 92480000, 92490000))	17360000.0	100000000	LHX8,AC099786.2,AC099786.3	GFI1
40	chr1	75120000	75130000	chr1	118990000	119000000	('chr1', 75120000, 75130000)	('chr1', 118990000, 119000000)	(('chr1', 75120000, 75130000), ('chr1', 118990000, 119000000))	43870000.0	100000000	LHX8,AC099786.2,AC099786.3	TBX15,AL139420.2
41	chr1	90720000	90730000	chr1	92480000	92490000	('chr1', 90720000, 90730000)	('chr1', 92480000, 92490000)	(('chr1', 90720000, 90730000), ('chr1', 92480000, 92490000))	1760000.0	100000000	BARHL2	GFI1
42	chr1	90720000	90730000	chr1	118990000	119000000	('chr1', 90720000, 90730000)	('chr1', 118990000, 119000000)	(('chr1', 90720000, 90730000), ('chr1', 118990000, 119000000))	28270000.0	100000000	BARHL2	TBX15,AL139420.2
43	chr1	90720000	90730000	chr1	200030000	200040000	('chr1', 90720000, 90730000)	('chr1', 200030000, 200040000)	(('chr1', 90720000, 90730000), ('chr1', 200030000, 200040000))	109310000.0	100000000	BARHL2	NR5A2,RNU6-570P
44	chr1	92480000	92490000	chr1	118990000	119000000	('chr1', 92480000, 92490000)	('chr1', 118990000, 119000000)	(('chr1', 92480000, 92490000), ('chr1', 118990000, 119000000))	26510000.0	100000000	GFI1	TBX15,AL139420.2
45	chr1	118990000	119000000	chr1	180230000	180240000	('chr1', 118990000, 119000000)	('chr1', 180230000, 180240000)	(('chr1', 118990000, 119000000), ('chr1', 180230000, 180240000))	61240000.0	100000000	TBX15,AL139420.2	LHX4
46	chr1	118990000	119000000	chr1	200030000	200040000	('chr1', 118990000, 119000000)	('chr1', 200030000, 200040000)	(('chr1', 118990000, 119000000), ('chr1', 200030000, 200040000))	81040000.0	100000000	TBX15,AL139420.2	NR5A2,RNU6-570P
47	chr1	165350000	165360000	chr1	197910000	197920000	('chr1', 165350000, 165360000)	('chr1', 197910000, 197920000)	(('chr1', 165350000, 165360000), ('chr1', 197910000, 197920000))	32560000.0	100000000	LMX1A	LHX9
48	chr1	165350000	165360000	chr1	200030000	200040000	('chr1', 165350000, 165360000)	('chr1', 200030000, 200040000)	(('chr1', 165350000, 165360000), ('chr1', 200030000, 200040000))	34680000.0	100000000	LMX1A	NR5A2,RNU6-570P
49	chr1	180230000	180240000	chr1	197910000	197920000	('chr1', 180230000, 180240000)	('chr1', 197910000, 197920000)	(('chr1', 180230000, 180240000), ('chr1', 197910000, 197920000))	17680000.0	100000000	LHX4	LHX9
50	chr1	180230000	180240000	chr1	200030000	200040000	('chr1', 180230000, 180240000)	('chr1', 200030000, 200040000)	(('chr1', 180230000, 180240000), ('chr1', 200030000, 200040000))	19800000.0	100000000	LHX4	NR5A2,RNU6-570P
51	chr1	180230000	180240000	chr1	220880000	220890000	('chr1', 180230000, 180240000)	('chr1', 220880000, 220890000)	(('chr1', 180230000, 180240000), ('chr1', 220880000, 220890000))	40650000.0	100000000	LHX4	HLX,HLX-AS1
52	chr1	180230000	180240000	chr1	229490000	229500000	('chr1', 180230000, 180240000)	('chr1', 229490000, 229500000)	(('chr1', 180230000, 180240000), ('chr1', 229490000, 229500000))	49260000.0	100000000	LHX4	NUP133
53	chr1	197910000	197920000	chr1	200030000	200040000	('chr1', 197910000, 197920000)	('chr1', 200030000, 200040000)	(('chr1', 197910000, 197920000), ('chr1', 200030000, 200040000))	2120000.0	100000000	LHX9	NR5A2,RNU6-570P
54	chr1	197910000	197920000	chr1	213980000	213990000	('chr1', 197910000, 197920000)	('chr1', 213980000, 213990000)	(('chr1', 197910000, 197920000), ('chr1', 213980000, 213990000))	16070000.0	100000000	LHX9	PROX1,AC011700.1
55	chr1	200030000	200040000	chr1	213980000	213990000	('chr1', 200030000, 200040000)	('chr1', 213980000, 213990000)	(('chr1', 200030000, 200040000), ('chr1', 213980000, 213990000))	13950000.0	100000000	NR5A2,RNU6-570P	PROX1,AC011700.1
56	chr2	44930000	44940000	chr2	236160000	236170000	('chr2', 44930000, 44940000)	('chr2', 236160000, 236170000)	(('chr2', 44930000, 44940000), ('chr2', 236160000, 236170000))	191230000.0	100000000	SIX3,SIX3-AS1,LINC01833	GBX2,AC019068.1
57	chr2	45000000	45010000	chr2	222280000	222290000	('chr2', 45000000, 45010000)	('chr2', 222280000, 222290000)	(('chr2', 45000000, 45010000), ('chr2', 222280000, 222290000))	177280000.0	100000000	SIX2	PAX3,CCDC140
58	chr2	45000000	45010000	chr2	236160000	236170000	('chr2', 45000000, 45010000)	('chr2', 236160000, 236170000)	(('chr2', 45000000, 45010000), ('chr2', 236160000, 236170000))	191160000.0	100000000	SIX2	GBX2,AC019068.1
59	chr2	66560000	66570000	chr2	118830000	118840000	('chr2', 66560000, 66570000)	('chr2', 118830000, 118840000)	(('chr2', 66560000, 66570000), ('chr2', 118830000, 118840000))	52270000.0	100000000	MEIS1,LINC01798	EN1,LINC01956
60	chr2	70880000	70890000	chr2	170810000	170820000	('chr2', 70880000, 70890000)	('chr2', 170810000, 170820000)	(('chr2', 70880000, 70890000), ('chr2', 170810000, 170820000))	99930000.0	100000000	VAX2,LINC01143,RF02272	GAD1,AC007405.2
61	chr2	70880000	70890000	chr2	236160000	236170000	('chr2', 70880000, 70890000)	('chr2', 236160000, 236170000)	(('chr2', 70880000, 70890000), ('chr2', 236160000, 236170000))	165280000.0	100000000	VAX2,LINC01143,RF02272	GBX2,AC019068.1
62	chr2	113270000	113280000	chr2	118210000	118220000	('chr2', 113270000, 113280000)	('chr2', 118210000, 118220000)	(('chr2', 113270000, 113280000), ('chr2', 118210000, 118220000))	4940000.0	100000000	PAX8	THORLNC
63	chr2	113270000	113280000	chr2	118830000	118840000	('chr2', 113270000, 113280000)	('chr2', 118830000, 118840000)	(('chr2', 113270000, 113280000), ('chr2', 118830000, 118840000))	5560000.0	100000000	PAX8	EN1,LINC01956
64	chr2	113270000	113280000	chr2	206260000	206270000	('chr2', 113270000, 113280000)	('chr2', 206260000, 206270000)	(('chr2', 113270000, 113280000), ('chr2', 206260000, 206270000))	92990000.0	100000000	PAX8	ZDBF2,HMGN1P6
65	chr2	113270000	113280000	chr2	236160000	236170000	('chr2', 113270000, 113280000)	('chr2', 236160000, 236170000)	(('chr2', 113270000, 113280000), ('chr2', 236160000, 236170000))	122890000.0	100000000	PAX8	GBX2,AC019068.1
66	chr2	118210000	118220000	chr2	118830000	118840000	('chr2', 118210000, 118220000)	('chr2', 118830000, 118840000)	(('chr2', 118210000, 118220000), ('chr2', 118830000, 118840000))	620000.0	100000000	THORLNC	EN1,LINC01956
67	chr2	118210000	118220000	chr2	170350000	170360000	('chr2', 118210000, 118220000)	('chr2', 170350000, 170360000)	(('chr2', 118210000, 118220000), ('chr2', 170350000, 170360000))	52140000.0	100000000	THORLNC	MYO3B,AC012594.1
68	chr2	118210000	118220000	chr2	206260000	206270000	('chr2', 118210000, 118220000)	('chr2', 206260000, 206270000)	(('chr2', 118210000, 118220000), ('chr2', 206260000, 206270000))	88050000.0	100000000	THORLNC	ZDBF2,HMGN1P6
69	chr2	118210000	118220000	chr2	222280000	222290000	('chr2', 118210000, 118220000)	('chr2', 222280000, 222290000)	(('chr2', 118210000, 118220000), ('chr2', 222280000, 222290000))	104070000.0	100000000	THORLNC	PAX3,CCDC140
70	chr2	118210000	118220000	chr2	236160000	236170000	('chr2', 118210000, 118220000)	('chr2', 236160000, 236170000)	(('chr2', 118210000, 118220000), ('chr2', 236160000, 236170000))	117950000.0	100000000	THORLNC	GBX2,AC019068.1
71	chr2	118830000	118840000	chr2	176060000	176170000	('chr2', 118830000, 118840000)	('chr2', 176060000, 176170000)	(('chr2', 118830000, 118840000), ('chr2', 176060000, 176170000))	57280000.0	1100000000	EN1,LINC01956	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
72	chr2	118830000	118840000	chr2	206260000	206270000	('chr2', 118830000, 118840000)	('chr2', 206260000, 206270000)	(('chr2', 118830000, 118840000), ('chr2', 206260000, 206270000))	87430000.0	100000000	EN1,LINC01956	ZDBF2,HMGN1P6
73	chr2	118830000	118840000	chr2	222280000	222290000	('chr2', 118830000, 118840000)	('chr2', 222280000, 222290000)	(('chr2', 118830000, 118840000), ('chr2', 222280000, 222290000))	103450000.0	100000000	EN1,LINC01956	PAX3,CCDC140
74	chr2	118830000	118840000	chr2	236160000	236170000	('chr2', 118830000, 118840000)	('chr2', 236160000, 236170000)	(('chr2', 118830000, 118840000), ('chr2', 236160000, 236170000))	117330000.0	100000000	EN1,LINC01956	GBX2,AC019068.1
75	chr2	170350000	170360000	chr2	170810000	170820000	('chr2', 170350000, 170360000)	('chr2', 170810000, 170820000)	(('chr2', 170350000, 170360000), ('chr2', 170810000, 170820000))	460000.0	100000000	MYO3B,AC012594.1	GAD1,AC007405.2
76	chr2	170350000	170360000	chr2	172090000	172100000	('chr2', 170350000, 170360000)	('chr2', 172090000, 172100000)	(('chr2', 170350000, 170360000), ('chr2', 172090000, 172100000))	1740000.0	100000000	MYO3B,AC012594.1	DLX1,DLX2
77	chr2	170350000	170360000	chr2	174320000	174330000	('chr2', 170350000, 170360000)	('chr2', 174320000, 174330000)	(('chr2', 170350000, 170360000), ('chr2', 174320000, 174330000))	3970000.0	100000000	MYO3B,AC012594.1	SP9,LINC01305,AC018470.1
78	chr2	170350000	170360000	chr2	222280000	222290000	('chr2', 170350000, 170360000)	('chr2', 222280000, 222290000)	(('chr2', 170350000, 170360000), ('chr2', 222280000, 222290000))	51930000.0	100000000	MYO3B,AC012594.1	PAX3,CCDC140
79	chr2	170810000	170820000	chr2	172090000	172100000	('chr2', 170810000, 170820000)	('chr2', 172090000, 172100000)	(('chr2', 170810000, 170820000), ('chr2', 172090000, 172100000))	1280000.0	100000000	GAD1,AC007405.2	DLX1,DLX2
80	chr2	170810000	170820000	chr2	174320000	174330000	('chr2', 170810000, 170820000)	('chr2', 174320000, 174330000)	(('chr2', 170810000, 170820000), ('chr2', 174320000, 174330000))	3510000.0	100000000	GAD1,AC007405.2	SP9,LINC01305,AC018470.1
81	chr2	170810000	170820000	chr2	176060000	176170000	('chr2', 170810000, 170820000)	('chr2', 176060000, 176170000)	(('chr2', 170810000, 170820000), ('chr2', 176060000, 176170000))	5300000.0	1100000000	GAD1,AC007405.2	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
82	chr2	170810000	170820000	chr2	206260000	206270000	('chr2', 170810000, 170820000)	('chr2', 206260000, 206270000)	(('chr2', 170810000, 170820000), ('chr2', 206260000, 206270000))	35450000.0	100000000	GAD1,AC007405.2	ZDBF2,HMGN1P6
83	chr2	170810000	170820000	chr2	222280000	222290000	('chr2', 170810000, 170820000)	('chr2', 222280000, 222290000)	(('chr2', 170810000, 170820000), ('chr2', 222280000, 222290000))	51470000.0	100000000	GAD1,AC007405.2	PAX3,CCDC140
84	chr2	172090000	172100000	chr2	174320000	174330000	('chr2', 172090000, 172100000)	('chr2', 174320000, 174330000)	(('chr2', 172090000, 172100000), ('chr2', 174320000, 174330000))	2230000.0	100000000	DLX1,DLX2	SP9,LINC01305,AC018470.1
85	chr2	172090000	172100000	chr2	176060000	176170000	('chr2', 172090000, 172100000)	('chr2', 176060000, 176170000)	(('chr2', 172090000, 172100000), ('chr2', 176060000, 176170000))	4020000.0	1100000000	DLX1,DLX2	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
86	chr2	172090000	172100000	chr2	206260000	206270000	('chr2', 172090000, 172100000)	('chr2', 206260000, 206270000)	(('chr2', 172090000, 172100000), ('chr2', 206260000, 206270000))	34170000.0	100000000	DLX1,DLX2	ZDBF2,HMGN1P6
87	chr2	172090000	172100000	chr2	222280000	222290000	('chr2', 172090000, 172100000)	('chr2', 222280000, 222290000)	(('chr2', 172090000, 172100000), ('chr2', 222280000, 222290000))	50190000.0	100000000	DLX1,DLX2	PAX3,CCDC140
88	chr2	172090000	172100000	chr2	236160000	236170000	('chr2', 172090000, 172100000)	('chr2', 236160000, 236170000)	(('chr2', 172090000, 172100000), ('chr2', 236160000, 236170000))	64070000.0	100000000	DLX1,DLX2	GBX2,AC019068.1
89	chr2	174320000	174330000	chr2	176060000	176170000	('chr2', 174320000, 174330000)	('chr2', 176060000, 176170000)	(('chr2', 174320000, 174330000), ('chr2', 176060000, 176170000))	1790000.0	1100000000	SP9,LINC01305,AC018470.1	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
90	chr2	174320000	174330000	chr2	206260000	206270000	('chr2', 174320000, 174330000)	('chr2', 206260000, 206270000)	(('chr2', 174320000, 174330000), ('chr2', 206260000, 206270000))	31940000.0	100000000	SP9,LINC01305,AC018470.1	ZDBF2,HMGN1P6
91	chr2	174320000	174330000	chr2	222280000	222290000	('chr2', 174320000, 174330000)	('chr2', 222280000, 222290000)	(('chr2', 174320000, 174330000), ('chr2', 222280000, 222290000))	47960000.0	100000000	SP9,LINC01305,AC018470.1	PAX3,CCDC140
92	chr2	176060000	176170000	chr2	206260000	206270000	('chr2', 176060000, 176170000)	('chr2', 206260000, 206270000)	(('chr2', 176060000, 176170000), ('chr2', 206260000, 206270000))	30150000.0	1100000000	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS	ZDBF2,HMGN1P6
93	chr2	176060000	176170000	chr2	222280000	222290000	('chr2', 176060000, 176170000)	('chr2', 222280000, 222290000)	(('chr2', 176060000, 176170000), ('chr2', 222280000, 222290000))	46170000.0	1100000000	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS	PAX3,CCDC140
94	chr2	176060000	176170000	chr2	236160000	236170000	('chr2', 176060000, 176170000)	('chr2', 236160000, 236170000)	(('chr2', 176060000, 176170000), ('chr2', 236160000, 236170000))	60050000.0	1100000000	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS	GBX2,AC019068.1
95	chr2	206260000	206270000	chr2	222280000	222290000	('chr2', 206260000, 206270000)	('chr2', 222280000, 222290000)	(('chr2', 206260000, 206270000), ('chr2', 222280000, 222290000))	16020000.0	100000000	ZDBF2,HMGN1P6	PAX3,CCDC140
96	chr2	206260000	206270000	chr2	236160000	236170000	('chr2', 206260000, 206270000)	('chr2', 236160000, 236170000)	(('chr2', 206260000, 206270000), ('chr2', 236160000, 236170000))	29900000.0	100000000	ZDBF2,HMGN1P6	GBX2,AC019068.1
97	chr2	222280000	222290000	chr2	236160000	236170000	('chr2', 222280000, 222290000)	('chr2', 236160000, 236170000)	(('chr2', 222280000, 222290000), ('chr2', 236160000, 236170000))	13880000.0	100000000	PAX3,CCDC140	GBX2,AC019068.1
98	chr2	222280000	222290000	chr4	4840000	4850000	('chr2', 222280000, 222290000)	('chr4', 4840000, 4850000)	(('chr2', 222280000, 222290000), ('chr4', 4840000, 4850000))	217440000.0	100000000	PAX3,CCDC140	MSX1,LINC01396
99	chr3	27710000	27720000	chr3	138930000	138940000	('chr3', 27710000, 27720000)	('chr3', 138930000, 138940000)	(('chr3', 27710000, 27720000), ('chr3', 138930000, 138940000))	111220000.0	100000000	EOMES,LINC02084	FOXL2,FOXL2NB
100	chr3	27710000	27720000	chr3	147390000	147400000	('chr3', 27710000, 27720000)	('chr3', 147390000, 147400000)	(('chr3', 27710000, 27720000), ('chr3', 147390000, 147400000))	119680000.0	100000000	EOMES,LINC02084	ZIC1,ZIC4,ZIC4-AS1
101	chr3	27710000	27720000	chr3	158090000	158100000	('chr3', 27710000, 27720000)	('chr3', 158090000, 158100000)	(('chr3', 27710000, 27720000), ('chr3', 158090000, 158100000))	130380000.0	100000000	EOMES,LINC02084	SHOX2,RSRC1
102	chr3	27710000	27720000	chr3	169130000	169140000	('chr3', 27710000, 27720000)	('chr3', 169130000, 169140000)	(('chr3', 27710000, 27720000), ('chr3', 169130000, 169140000))	141420000.0	100000000	EOMES,LINC02084	MECOM
103	chr3	27710000	27720000	chr3	169650000	169660000	('chr3', 27710000, 27720000)	('chr3', 169650000, 169660000)	(('chr3', 27710000, 27720000), ('chr3', 169650000, 169660000))	141940000.0	100000000	EOMES,LINC02084	MECOM
104	chr3	128480000	128490000	chr3	138930000	138940000	('chr3', 128480000, 128490000)	('chr3', 138930000, 138940000)	(('chr3', 128480000, 128490000), ('chr3', 138930000, 138940000))	10450000.0	100000000	GATA2,GATA2-AS1	FOXL2,FOXL2NB
105	chr3	128480000	128490000	chr3	158090000	158100000	('chr3', 128480000, 128490000)	('chr3', 158090000, 158100000)	(('chr3', 128480000, 128490000), ('chr3', 158090000, 158100000))	29610000.0	100000000	GATA2,GATA2-AS1	SHOX2,RSRC1
106	chr3	137760000	137770000	chr3	138930000	138940000	('chr3', 137760000, 137770000)	('chr3', 138930000, 138940000)	(('chr3', 137760000, 137770000), ('chr3', 138930000, 138940000))	1170000.0	100000000	SOX14	FOXL2,FOXL2NB
107	chr3	137760000	137770000	chr3	147390000	147400000	('chr3', 137760000, 137770000)	('chr3', 147390000, 147400000)	(('chr3', 137760000, 137770000), ('chr3', 147390000, 147400000))	9630000.0	100000000	SOX14	ZIC1,ZIC4,ZIC4-AS1
