"Gene","Protein","Protein names","UniProt Localization","HPA Localization","OpenCell Localization","SimChrom Category","SimChrom-SL Category","MS-based studies","Abundance, ppm","PFAM"
"undefinedAR","P10275","Androgen receptor","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Nuclear hormone receptors","Nuclear hormone receptors","null","2.5","Androgen_recep(Androgen receptor,PF02166);zf-C4(Zinc finger, C4 type (two domains),PF00105);Hormone_recep(Ligand-binding domain of nuclear hormone receptor,PF00104)"
"undefinedARGFX","A6NJG6","Arginine-fifty homeobox","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedARNT","P27540","Aryl hydrocarbon receptor nuclear translocator","Nucleus (ECO:0000305)","Nuclear bodies (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Nuclear hormone receptors","Nuclear hormone receptors","Kustatscher et al., 2014","3.63","HLH(Helix-loop-helix DNA-binding domain,PF00010);PAS(PAS fold,PF00989);PAS_11(PAS domain,PF14598)"
"undefinedARNT2","Q9HBZ2","Aryl hydrocarbon receptor nuclear translocator 2","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.512","HLH(Helix-loop-helix DNA-binding domain,PF00010);PAS(PAS fold,PF00989);PAS_11(PAS domain,PF14598)"
"undefinedARNTL","O00327","Aryl hydrocarbon receptor nuclear translocator-like protein 1","Cytoplasm (ECO:0000250), Nucleus (ECO:0000255), Nucleus (ECO:0000269), PML body (ECO:0000250)","Nucleoplasm (Supported), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","0.685","HLH(Helix-loop-helix DNA-binding domain,PF00010);PAS(PAS fold,PF00989);PAS_11(PAS domain,PF14598)"
"undefinedARNTL2","Q8WYA1","Aryl hydrocarbon receptor nuclear translocator-like protein 2","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoli (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.052","HLH(Helix-loop-helix DNA-binding domain,PF00010);PAS(PAS fold,PF00989);PAS_11(PAS domain,PF14598)"
"undefinedARX","Q96QS3","Homeobox protein ARX","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.264","Homeodomain(Homeodomain,PF00046)"
"undefinedASCL1","P50553","Achaete-scute homolog 1","Nucleus (ECO:0000250)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Pioneer TFs","Pioneer TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedASCL2","Q99929","Achaete-scute homolog 2","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.137","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedASCL3","Q9NQ33","Achaete-scute homolog 3","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedASCL4","Q6XD76","Achaete-scute homolog 4","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.019","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedASCL5","Q7RTU5","Achaete-scute homolog 5","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedATF1","P18846","Cyclic AMP-dependent transcription factor ATF-1","Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","41.8","pKID(pKID domain,PF02173)"
"undefinedATF2","P15336","Cyclic AMP-dependent transcription factor ATF-2","null","Nucleoplasm (Enhanced)","null","Histone modification, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Histone modification","Ginno et al., 2018","15.6","null"
"undefinedATF3","P18847","Cyclic AMP-dependent transcription factor ATF-3","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoli (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016","1.5","null"
"undefinedATF4","P18848","Cyclic AMP-dependent transcription factor ATF-4","Cell membrane (ECO:0000250), Centrosome (ECO:0000269), Cytoplasm (ECO:0000250), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014","0.19","null"
"undefinedATF5","Q9Y2D1","Cyclic AMP-dependent transcription factor ATF-5","Centrosome (ECO:0000269), Cytoplasm (ECO:0000269), Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Cytosol (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.101","null"
"undefinedATF6","P18850","Cyclic AMP-dependent transcription factor ATF-6 alpha","Endoplasmic reticulum membrane (ECO:0000269), Golgi apparatus membrane (ECO:0000269), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","7.6","null"
"undefinedATF6B","Q99941","Cyclic AMP-dependent transcription factor ATF-6 beta","Endoplasmic reticulum membrane (ECO:0000269), Nucleus (ECO:0000269)","Nucleoli (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","4.14","null"
"undefinedATF7","P17544","Cyclic AMP-dependent transcription factor ATF-7","Cytoplasm (ECO:0000269), Nucleoplasm (ECO:0000269), Nucleus (ECO:0000255), Nucleus (ECO:0000269), Telomere (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Telomere-associated","Housekeeping DNA-binding TFs","Ginno et al., 2018; Kustatscher et al., 2014","7.09","null"
"undefinedATMIN","O43313","ATM interactor","Nucleus (ECO:0000269)","Nuclear bodies (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","null","null"
"undefinedATOH1","Q92858","Transcription factor ATOH1","Nucleus (ECO:0000305)","Cytosol (Approved), Mitochondria (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.022","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedATOH7","Q8N100","Transcription factor ATOH7","Axon (ECO:0000250), Nucleus (ECO:0000269), Perikaryon (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedATOH8","Q96SQ7","Transcription factor ATOH8","Cytoplasm (ECO:0000250), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.004","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedATXN7","O15265","Ataxin-7","Cytoplasm (ECO:0000269), Cytoskeleton (ECO:0000269), Nucleolus (ECO:0000269), Nucleus (ECO:0000269), Nucleus matrix (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Itzhak et al., 2016; Kustatscher et al., 2014","0.314","SCA7(SCA7, zinc-binding domain,PF08313)"
"undefinedATXN7L3","Q14CW9","Ataxin-7-like protein 3","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nuclear speckles (Approved), Plasma membrane (Approved)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Itzhak et al., 2016; Kustatscher et al., 2014","0.845","Sgf11(Sgf11 (transcriptional regulation protein),PF08209);SCA7(SCA7, zinc-binding domain,PF08313)"
"undefinedBACH1","O14867","Transcription regulator protein BACH1","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014","3.41","BTB(BTB/POZ domain,PF00651)"
"undefinedBACH2","Q9BYV9","Transcription regulator protein BACH2","Cytoplasm (ECO:0000269), Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Cytosol (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.173","BTB(BTB/POZ domain,PF00651)"
"undefinedBARHL1","Q9BZE3","BarH-like 1 homeobox protein","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedBARHL2","Q9NY43","BarH-like 2 homeobox protein","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedBARX1","Q9HBU1","Homeobox protein BarH-like 1","Nucleus (ECO:0000305)","Nucleoplasm (Approved), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","null","Homeodomain(Homeodomain,PF00046)"
"undefinedBARX2","Q9UMQ3","Homeobox protein BarH-like 2","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.091","Homeodomain(Homeodomain,PF00046)"
"undefinedBATF","Q16520","Basic leucine zipper transcriptional factor ATF-like","Cytoplasm (ECO:0000250), Nucleus (ECO:0000255)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.75","null"
"undefinedBATF2","Q8N1L9","Basic leucine zipper transcriptional factor ATF-like 2","Nucleus (ECO:0000255)","Nucleoli (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","null"
"undefinedBATF3","Q9NR55","Basic leucine zipper transcriptional factor ATF-like 3","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoli (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.455","null"
"undefinedBBX","Q8WY36","HMG box transcription factor BBX","Nucleus (ECO:0000305)","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","5.79","HMG_box(HMG (high mobility group) box,PF00505);DUF2028(Domain of unknown function (DUF2028),PF09667);DUF2028(Domain of unknown function (DUF2028),PF09667)"
"undefinedBCL11A","Q9H165","B-cell lymphoma/leukemia 11A","Chromosome (ECO:0000269), Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus matrix (ECO:0000269)","Nuclear bodies (Supported), Nucleoplasm (Supported)","null","Chromatin remodelers, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Chromatin remodelers","Ugur et al., 2023","2.13","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedBCL11B","Q9C0K0","B-cell lymphoma/leukemia 11B","Nucleus (ECO:0000305)","Nucleoli fibrillar center (Approved), Nucleoplasm (Approved)","null","Chromatin remodelers, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Chromatin remodelers","Kustatscher et al., 2014","1.57","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedBCL6","P41182","B-cell lymphoma 6 protein","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","1.83","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedBCL6B","Q8N143","B-cell CLL/lymphoma 6 member B protein","Nucleus (ECO:0000250)","Nucleoplasm (Approved), Plasma membrane (Approved), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.01","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedBDP1","A6H8Y1","Transcription factor TFIIIB component B'' homolog","Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","0.088","Myb_DNA-bind_7(Myb DNA-binding like,PF15963)"
"undefinedBHLHA15","Q7RTS1","Class A basic helix-loop-helix protein 15","Nucleus (ECO:0000305)","Golgi apparatus (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.584","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedBHLHA9","Q7RTU4","Class A basic helix-loop-helix protein 9","Cytoplasm (ECO:0000269), Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedBHLHE22","Q8NFJ8","Class E basic helix-loop-helix protein 22","Nucleus (ECO:0000305)","Nuclear speckles (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedBHLHE23","Q8NDY6","Class E basic helix-loop-helix protein 23","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedBHLHE40","O14503","Class E basic helix-loop-helix protein 40","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Nuclear bodies (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Shi et al., 2021","1.76","HLH(Helix-loop-helix DNA-binding domain,PF00010);Hairy_orange(Hairy Orange,PF07527)"
"undefinedBHLHE41","Q9C0J9","Class E basic helix-loop-helix protein 41","Nucleus (ECO:0000255)","Nucleoplasm (Enhanced), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.27","HLH(Helix-loop-helix DNA-binding domain,PF00010);Hairy_orange(Hairy Orange,PF07527)"
"undefinedBNC1","Q01954","Zinc finger protein basonuclin-1","Cytoplasm (ECO:0000269), Nucleoplasm (ECO:0000269), Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.005","zf-met(Zinc-finger of C2H2 type,PF12874);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedBRCA1","P38398","Breast cancer type 1 susceptibility protein","Chromosome (ECO:0000269), Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Nuclear bodies (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, DNA metabolic processes, DNA repair, DNA replication, DNA recombination, X-chromosome inactivation","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Ugur et al., 2023","1.33","zf-C3HC4(Zinc finger, C3HC4 type (RING finger),PF00097);BRCT_assoc(Serine-rich domain associated with BRCT,PF12820);BRCT(BRCA1 C Terminus (BRCT) domain,PF00533);BRCT(BRCA1 C Terminus (BRCT) domain,PF00533)"
"undefinedBRF1","Q92994","Transcription factor IIIB 90 kDa subunit","Nucleus (ECO:0000250)","Nuclear bodies (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Kustatscher et al., 2014; Ugur et al., 2023","2.1","TF_Zn_Ribbon(TFIIB zinc-binding,PF08271);TFIIB(Transcription factor TFIIB repeat,PF00382);TFIIB(Transcription factor TFIIB repeat,PF00382);BRF1(Brf1-like TBP-binding domain,PF07741)"
"undefinedBRF2","Q9HAW0","Transcription factor IIIB 50 kDa subunit","Nucleus (ECO:0000269)","Nucleoli (Supported)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Itzhak et al., 2016","2.79","TF_Zn_Ribbon(TFIIB zinc-binding,PF08271)"
"undefinedBSX","Q3C1V8","Brain-specific homeobox protein homolog","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedCARF","Q8N187","Calcium-responsive transcription factor","Nucleus (ECO:0000250)","Cytosol (Approved), Nucleoli fibrillar center (Approved), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","null","ALS2CR8(Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8,PF15299)"
"undefinedCASZ1","Q86V15","Zinc finger protein castor homolog 1","Nucleus (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","3.25","null"
"undefinedCC2D1A","Q6P1N0","Coiled-coil and C2 domain-containing protein 1A","Centrosome (ECO:0000303), Cytoplasm (ECO:0000269), Nucleus (ECO:0000250)","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","23.1","C2(C2 domain,PF00168)"
"undefinedCC2D1B","Q5T0F9","Coiled-coil and C2 domain-containing protein 1B","Nucleus (ECO:0000269)","Nucleoplasm (Supported), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018","12.8","C2(C2 domain,PF00168)"
"undefinedCCNH","P51946","Cyclin-H","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Alabert et al., 2014; Kustatscher et al., 2014; Shi et al., 2021","10.8","Cyclin_N(Cyclin, N-terminal domain,PF00134);Cyclin_C_2(Cyclin C-terminal domain,PF16899)"
"undefinedCDC5L","Q99459","Cell division cycle 5-like protein","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Nuclear RNA binding proteins, RNA processing","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011","81.8","Myb_DNA-bind_6(Myb-like DNA-binding domain,PF13921);Myb_DNA-bind_6(Myb-like DNA-binding domain,PF13921);Myb_Cef(pre-mRNA splicing factor component,PF11831)"
"undefinedCDK7","P50613","Cyclin-dependent kinase 7","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000269)","Cytosol (Supported), Nucleoli fibrillar center (Supported), Nucleoplasm (Supported)","nuclear_punctae (annotations_grade_2), nucleoplasm (annotations_grade_3)","DNA-acting enzymes, DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Alabert et al., 2014; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","10.1","Pkinase(Protein kinase domain,PF00069)"
