source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0035295,tube development,1.5518758002564082e-67,True,"""The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."" [PMID:12526790]",1092,457,141,21017,0.3085339168490153,0.12912087912087913,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0072359,circulatory system development,2.956991633068248e-67,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1134,457,143,21017,0.31291028446389496,0.12610229276895943,query_1,['GO:0048731']
GO:BP,GO:0051240,positive regulation of multicellular organismal process,2.384148501479831e-64,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1644,457,165,21017,0.3610503282275711,0.10036496350364964,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0009891,positive regulation of biosynthetic process,3.975604549933719e-64,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",2707,457,208,21017,0.4551422319474836,0.0768378278537126,query_1,"['GO:0009058', 'GO:0009889', 'GO:0009893']"
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,5.436289795730125e-64,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2604,457,204,21017,0.44638949671772427,0.07834101382488479,query_1,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']"
GO:BP,GO:0051094,positive regulation of developmental process,2.3302775987657842e-63,True,"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",1331,457,149,21017,0.32603938730853393,0.11194590533433509,query_1,"['GO:0032502', 'GO:0048518', 'GO:0050793']"
GO:BP,GO:0035239,tube morphogenesis,3.202569538609889e-63,True,"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]",872,457,124,21017,0.2713347921225383,0.14220183486238533,query_1,"['GO:0009653', 'GO:0035295']"
GO:BP,GO:0051093,negative regulation of developmental process,5.907502547663175e-62,True,"""Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",928,457,126,21017,0.27571115973741794,0.13577586206896552,query_1,"['GO:0032502', 'GO:0048519', 'GO:0050793']"
GO:BP,GO:0045595,regulation of cell differentiation,8.003270857109477e-62,True,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",1577,457,159,21017,0.3479212253829322,0.10082435003170577,query_1,"['GO:0030154', 'GO:0050793', 'GO:0050794']"
GO:BP,GO:0009719,response to endogenous stimulus,1.7348449135080374e-61,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1478,457,154,21017,0.33698030634573306,0.10419485791610285,query_1,['GO:0050896']
GO:BP,GO:2000026,regulation of multicellular organismal development,1.0742876740874819e-60,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1413,457,150,21017,0.3282275711159737,0.10615711252653928,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,6.631259594276587e-60,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2803,457,206,21017,0.45076586433260396,0.07349268640742063,query_1,['GO:0007165']
GO:BP,GO:0050896,response to stimulus,2.5942554741725015e-59,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8993,457,368,21017,0.8052516411378556,0.04092071611253197,query_1,['GO:0008150']
GO:BP,GO:0060429,epithelium development,5.702346240924986e-59,True,"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",1229,457,139,21017,0.3041575492341357,0.11310008136696502,query_1,['GO:0009888']
GO:BP,GO:0048646,anatomical structure formation involved in morphogenesis,1.809410279699427e-58,True,"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]",1181,457,136,21017,0.2975929978118162,0.11515664690939881,query_1,"['GO:0009653', 'GO:0032502']"
GO:BP,GO:0012501,programmed cell death,4.4956386165122264e-58,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",1980,457,172,21017,0.37636761487964987,0.08686868686868687,query_1,['GO:0008219']
GO:BP,GO:1901700,response to oxygen-containing compound,5.032110441818692e-58,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1632,457,157,21017,0.3435448577680525,0.09620098039215687,query_1,['GO:0042221']
GO:BP,GO:0008219,cell death,6.087549699808652e-58,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1984,457,172,21017,0.37636761487964987,0.08669354838709678,query_1,['GO:0009987']
GO:BP,GO:0070887,cellular response to chemical stimulus,8.245213385378163e-58,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2186,457,180,21017,0.3938730853391685,0.08234217749313816,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0008284,positive regulation of cell population proliferation,1.8691885541390553e-57,True,"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]",958,457,123,21017,0.26914660831509846,0.12839248434237996,query_1,"['GO:0008283', 'GO:0042127', 'GO:0048522']"
GO:BP,GO:0043067,regulation of programmed cell death,2.6781072906986545e-57,True,"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",1497,457,150,21017,0.3282275711159737,0.10020040080160321,query_1,"['GO:0012501', 'GO:0050794']"
GO:BP,GO:0006915,apoptotic process,6.664894268395797e-57,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1919,457,168,21017,0.3676148796498906,0.08754559666492966,query_1,['GO:0012501']
GO:BP,GO:0048468,cell development,7.257493428933537e-57,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2833,457,203,21017,0.4442013129102845,0.07165548888104482,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0048519,negative regulation of biological process,6.113772375559729e-55,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5865,457,291,21017,0.6367614879649891,0.049616368286445015,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0042981,regulation of apoptotic process,1.298846287084908e-54,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1458,457,145,21017,0.3172866520787746,0.09945130315500686,query_1,"['GO:0006915', 'GO:0043067']"
GO:BP,GO:0051716,cellular response to stimulus,2.199912628091277e-53,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7320,457,324,21017,0.7089715536105032,0.04426229508196721,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0001568,blood vessel development,3.182212447405648e-53,True,"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]",725,457,105,21017,0.22975929978118162,0.14482758620689656,query_1,"['GO:0001944', 'GO:0048856']"
GO:BP,GO:0048583,regulation of response to stimulus,1.344605535183879e-52,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3958,457,234,21017,0.5120350109409191,0.059120768064679134,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0001944,vasculature development,2.013772104588726e-52,True,"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]",755,457,106,21017,0.23194748358862144,0.1403973509933775,query_1,"['GO:0048731', 'GO:0072359']"
GO:BP,GO:0065007,biological regulation,1.203521328241268e-51,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12671,457,421,21017,0.9212253829321663,0.033225475495225316,query_1,['GO:0008150']
GO:BP,GO:0048523,negative regulation of cellular process,9.033957153860174e-51,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5646,457,279,21017,0.6105032822757112,0.049415515409139216,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']"
GO:BP,GO:0048732,gland development,2.781964964940585e-50,True,"""The process whose specific outcome is the progression of a gland over time, from its formation to the mature structure. A gland is an organ specialised for secretion."" [GOC:jid]",454,457,84,21017,0.1838074398249453,0.18502202643171806,query_1,['GO:0048513']
GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II,5.461898926165606e-49,True,"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]",1261,457,129,21017,0.28227571115973743,0.10229976209357652,query_1,"['GO:0006357', 'GO:0006366', 'GO:0045893']"
GO:BP,GO:0007154,cell communication,1.6611488875070456e-48,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6496,457,297,21017,0.649890590809628,0.0457204433497537,query_1,['GO:0009987']
GO:BP,GO:0048514,blood vessel morphogenesis,2.451245682243384e-48,True,"""The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood."" [GOC:jid]",628,457,94,21017,0.20568927789934355,0.14968152866242038,query_1,"['GO:0001568', 'GO:0035239']"
GO:BP,GO:0009887,animal organ morphogenesis,3.310446276507045e-48,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",1037,457,117,21017,0.25601750547045954,0.1128254580520733,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0045893,positive regulation of DNA-templated transcription,4.0357193300166166e-48,True,"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1710,457,148,21017,0.3238512035010941,0.08654970760233918,query_1,"['GO:0006351', 'GO:0006355', 'GO:1902680']"
GO:BP,GO:1902680,positive regulation of RNA biosynthetic process,5.045275129038205e-48,True,"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]",1713,457,148,21017,0.3238512035010941,0.08639813193228255,query_1,"['GO:0010557', 'GO:0032774', 'GO:0051254', 'GO:2001141']"
GO:BP,GO:0051241,negative regulation of multicellular organismal process,1.0687759615723069e-47,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1088,457,119,21017,0.2603938730853392,0.109375,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
GO:BP,GO:0023052,signaling,1.246103549673441e-47,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6471,457,295,21017,0.6455142231947484,0.045588008035852265,query_1,['GO:0050789']
GO:BP,GO:0043069,negative regulation of programmed cell death,1.2762340778875363e-47,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",898,457,109,21017,0.23851203501094093,0.12138084632516703,query_1,"['GO:0012501', 'GO:0043067', 'GO:0048523']"
GO:BP,GO:0016477,cell migration,1.9690873043634166e-47,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1499,457,138,21017,0.30196936542669583,0.09206137424949967,query_1,['GO:0048870']
GO:BP,GO:0043066,negative regulation of apoptotic process,4.259419339925457e-47,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",872,457,107,21017,0.23413566739606126,0.12270642201834862,query_1,"['GO:0006915', 'GO:0042981', 'GO:0043069']"
GO:BP,GO:0071495,cellular response to endogenous stimulus,1.13917851901122e-46,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]",1215,457,124,21017,0.2713347921225383,0.10205761316872428,query_1,['GO:0009719']
GO:BP,GO:0030334,regulation of cell migration,1.3287002359600044e-46,True,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",938,457,110,21017,0.24070021881838075,0.11727078891257996,query_1,"['GO:0016477', 'GO:2000145']"
GO:BP,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,2.182910529717736e-46,True,"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",2038,457,159,21017,0.3479212253829322,0.07801766437684005,query_1,"['GO:0006139', 'GO:0009893', 'GO:0019219']"
GO:BP,GO:0007165,signal transduction,5.817703468090287e-46,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",5979,457,280,21017,0.612691466083151,0.04683057367452751,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0080090,regulation of primary metabolic process,7.515202602886232e-46,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5486,457,267,21017,0.5842450765864332,0.04866934013853445,query_1,"['GO:0019222', 'GO:0044238']"
GO:BP,GO:0048584,positive regulation of response to stimulus,7.60145791609791e-46,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2293,457,168,21017,0.3676148796498906,0.07326646314871348,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0010647,positive regulation of cell communication,8.032960268302682e-46,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1783,457,148,21017,0.3238512035010941,0.08300616937745373,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']"
GO:BP,GO:2000145,regulation of cell motility,1.1273664637597056e-44,True,"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]",1000,457,111,21017,0.24288840262582057,0.111,query_1,"['GO:0040012', 'GO:0048870', 'GO:0050794']"
GO:BP,GO:0040012,regulation of locomotion,1.4455995276734292e-44,True,"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]",1042,457,113,21017,0.24726477024070023,0.10844529750479846,query_1,"['GO:0040011', 'GO:0050789']"
GO:BP,GO:0010646,regulation of cell communication,1.4563281341955937e-44,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3453,457,206,21017,0.45076586433260396,0.059658268172603536,query_1,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0023056,positive regulation of signaling,2.6100382343862347e-44,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1784,457,146,21017,0.31947483588621445,0.08183856502242152,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']"
GO:BP,GO:0040011,locomotion,3.7336835007624597e-44,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1238,457,122,21017,0.26695842450765866,0.09854604200323101,query_1,['GO:0008150']
GO:BP,GO:0009966,regulation of signal transduction,5.0900628466774815e-44,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3020,457,191,21017,0.4179431072210066,0.06324503311258278,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0051254,positive regulation of RNA metabolic process,5.419053693381893e-44,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1844,457,148,21017,0.3238512035010941,0.08026030368763558,query_1,"['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']"
GO:BP,GO:0023051,regulation of signaling,1.9885911613221902e-43,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3446,457,204,21017,0.44638949671772427,0.0591990713871155,query_1,"['GO:0023052', 'GO:0050789']"
GO:BP,GO:0050794,regulation of cellular process,4.870460564427372e-43,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11876,457,398,21017,0.8708971553610503,0.03351296732906703,query_1,"['GO:0009987', 'GO:0050789']"
