From	To	Species	Gene Name
BAZ2B	ENSG00000123636	Homo sapiens	bromodomain adjacent to zinc finger domain 2B(BAZ2B)
GATA1	ENSG00000102145	Homo sapiens	GATA binding protein 1(GATA1)
HIF1A	ENSG00000100644	Homo sapiens	hypoxia inducible factor 1 subunit alpha(HIF1A)
MTDH	ENSG00000147649	Homo sapiens	metadherin(MTDH)
FXR1	ENSG00000114416	Homo sapiens	FMR1 autosomal homolog 1(FXR1)
DHX30	ENSG00000132153	Homo sapiens	DExH-box helicase 30(DHX30)
EPB41L5	ENSG00000115109	Homo sapiens	erythrocyte membrane protein band 4.1 like 5(EPB41L5)
FXR2	ENSG00000129245	Homo sapiens	FMR1 autosomal homolog 2(FXR2)
PCBP1	ENSG00000169564	Homo sapiens	poly(rC) binding protein 1(PCBP1)
PCBP2	ENSG00000197111	Homo sapiens	poly(rC) binding protein 2(PCBP2)
DHX36	ENSG00000281763	Homo sapiens	DEAH-box helicase 36(DHX36)
DHX36	ENSG00000174953	Homo sapiens	DEAH-box helicase 36(DHX36)
HLTF	ENSG00000071794	Homo sapiens	helicase like transcription factor(HLTF)
RBM10	ENSG00000182872	Homo sapiens	RNA binding motif protein 10(RBM10)
ATG5	ENSG00000057663	Homo sapiens	autophagy related 5(ATG5)
PLK3	ENSG00000173846	Homo sapiens	polo like kinase 3(PLK3)
TRAP1	ENSG00000126602	Homo sapiens	TNF receptor associated protein 1(TRAP1)
XRCC6	ENSG00000196419	Homo sapiens	X-ray repair cross complementing 6(XRCC6)
GADD45A	ENSG00000116717	Homo sapiens	growth arrest and DNA damage inducible alpha(GADD45A)
SMARCA5	ENSG00000153147	Homo sapiens	SNF2 related chromatin remodeling ATPase 5(SMARCA5)
LARP4	ENSG00000161813	Homo sapiens	La ribonucleoprotein 4(LARP4)
PUM1	ENSG00000134644	Homo sapiens	pumilio RNA binding family member 1(PUM1)
A1CF	ENSG00000148584	Homo sapiens	APOBEC1 complementation factor(A1CF)
MEX3C	ENSG00000176624	Homo sapiens	mex-3 RNA binding family member C(MEX3C)
PUM2	ENSG00000055917	Homo sapiens	pumilio RNA binding family member 2(PUM2)
SMARCA4	ENSG00000127616	Homo sapiens	SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4(SMARCA4)
AIMP1	ENSG00000164022	Homo sapiens	aminoacyl tRNA synthetase complex interacting multifunctional protein 1(AIMP1)
HNRNPL	ENSG00000282947	Homo sapiens	heterogeneous nuclear ribonucleoprotein L(HNRNPL)
HNRNPL	ENSG00000104824	Homo sapiens	heterogeneous nuclear ribonucleoprotein L(HNRNPL)
HNRNPM	ENSG00000099783	Homo sapiens	heterogeneous nuclear ribonucleoprotein M(HNRNPM)
MOV10	ENSG00000155363	Homo sapiens	Mov10 RNA helicase(MOV10)
AGO3	ENSG00000126070	Homo sapiens	argonaute RISC catalytic component 3(AGO3)
FUBP3	ENSG00000107164	Homo sapiens	far upstream element binding protein 3(FUBP3)
AGO4	ENSG00000134698	Homo sapiens	argonaute RISC component 4(AGO4)
AGO1	ENSG00000092847	Homo sapiens	argonaute RISC component 1(AGO1)
HNRNPF	ENSG00000169813	Homo sapiens	heterogeneous nuclear ribonucleoprotein F(HNRNPF)
FUBP1	ENSG00000162613	Homo sapiens	far upstream element binding protein 1(FUBP1)
AGO2	ENSG00000123908	Homo sapiens	argonaute RISC catalytic component 2(AGO2)
SNAI1	ENSG00000124216	Homo sapiens	snail family transcriptional repressor 1(SNAI1)
HNRNPD	ENSG00000138668	Homo sapiens	heterogeneous nuclear ribonucleoprotein D(HNRNPD)
HNRNPC	ENSG00000092199	Homo sapiens	heterogeneous nuclear ribonucleoprotein C(HNRNPC)
NOL12	ENSG00000273899	Homo sapiens	nucleolar protein 12(NOL12)
HOXD9	ENSG00000128709	Homo sapiens	homeobox D9(HOXD9)
ITPA	ENSG00000125877	Homo sapiens	inosine triphosphatase(ITPA)
HOXD8	ENSG00000175879	Homo sapiens	homeobox D8(HOXD8)
SUGP2	ENSG00000064607	Homo sapiens	SURP and G-patch domain containing 2(SUGP2)
EZH2	ENSG00000106462	Homo sapiens	enhancer of zeste 2 polycomb repressive complex 2 subunit(EZH2)
DCP1B	ENSG00000151065	Homo sapiens	decapping mRNA 1B(DCP1B)
DCP1B	ENSG00000284850	Homo sapiens	decapping mRNA 1B(DCP1B)
ZNF133	ENSG00000125846	Homo sapiens	zinc finger protein 133(ZNF133)
CDKN1A	ENSG00000124762	Homo sapiens	cyclin dependent kinase inhibitor 1A(CDKN1A)
HOXC13	ENSG00000123364	Homo sapiens	homeobox C13(HOXC13)
BRCA1	ENSG00000012048	Homo sapiens	BRCA1 DNA repair associated(BRCA1)
SPPL3	ENSG00000157837	Homo sapiens	signal peptide peptidase like 3(SPPL3)
GLI2	ENSG00000074047	Homo sapiens	GLI family zinc finger 2(GLI2)
IFIH1	ENSG00000115267	Homo sapiens	interferon induced with helicase C domain 1(IFIH1)
BOLL	ENSG00000152430	Homo sapiens	boule homolog, RNA binding protein(BOLL)
NKRF	ENSG00000292244	Homo sapiens	NFKB repressing factor(NKRF)
NKRF	ENSG00000186416	Homo sapiens	NFKB repressing factor(NKRF)
XPO5	ENSG00000124571	Homo sapiens	exportin 5(XPO5)
C16ORF74	ENSG00000154102	Homo sapiens	chromosome 16 open reading frame 74(C16orf74)
ZNF485	ENSG00000198298	Homo sapiens	zinc finger protein 485(ZNF485)
UPF1	ENSG00000005007	Homo sapiens	UPF1 RNA helicase and ATPase(UPF1)
UCHL5	ENSG00000116750	Homo sapiens	ubiquitin C-terminal hydrolase L5(UCHL5)
NME1	ENSG00000239672	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 1(NME1)
GNL3	ENSG00000163938	Homo sapiens	G protein nucleolar 3(GNL3)
WDR33	ENSG00000136709	Homo sapiens	WD repeat domain 33(WDR33)
SLTM	ENSG00000137776	Homo sapiens	SAFB like transcription modulator(SLTM)
HNRNPH1	ENSG00000284254	Homo sapiens	heterogeneous nuclear ribonucleoprotein H1(HNRNPH1)
HNRNPH1	ENSG00000169045	Homo sapiens	heterogeneous nuclear ribonucleoprotein H1(HNRNPH1)
TMF1	ENSG00000144747	Homo sapiens	TATA element modulatory factor 1(TMF1)
STAU1	ENSG00000124214	Homo sapiens	staufen double-stranded RNA binding protein 1(STAU1)
RNMT	ENSG00000101654	Homo sapiens	RNA guanine-7 methyltransferase(RNMT)
HOXD11	ENSG00000128713	Homo sapiens	homeobox D11(HOXD11)
RELA	ENSG00000173039	Homo sapiens	RELA proto-oncogene, NF-kB subunit(RELA)
SCAF8	ENSG00000213079	Homo sapiens	SR-related CTD associated factor 8(SCAF8)
EXOSC10	ENSG00000171824	Homo sapiens	exosome component 10(EXOSC10)
EXOSC4	ENSG00000178896	Homo sapiens	exosome component 4(EXOSC4)
RPS3	ENSG00000149273	Homo sapiens	ribosomal protein S3(RPS3)
APBB2	ENSG00000163697	Homo sapiens	amyloid beta precursor protein binding family B member 2(APBB2)
EXOSC3	ENSG00000107371	Homo sapiens	exosome component 3(EXOSC3)
SF3B1	ENSG00000115524	Homo sapiens	splicing factor 3b subunit 1(SF3B1)
SUZ12	ENSG00000178691	Homo sapiens	SUZ12 polycomb repressive complex 2 subunit(SUZ12)
YTHDF1	ENSG00000149658	Homo sapiens	YTH N6-methyladenosine RNA binding protein F1(YTHDF1)
NPM1	ENSG00000181163	Homo sapiens	nucleophosmin 1(NPM1)
YTHDF2	ENSG00000198492	Homo sapiens	YTH N6-methyladenosine RNA binding protein F2(YTHDF2)
HUWE1	ENSG00000086758	Homo sapiens	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1(HUWE1)
SCAF4	ENSG00000156304	Homo sapiens	SR-related CTD associated factor 4(SCAF4)
TARBP2	ENSG00000139546	Homo sapiens	TARBP2 subunit of RISC loading complex(TARBP2)
PRPF39	ENSG00000185246	Homo sapiens	pre-mRNA processing factor 39(PRPF39)
WT1	ENSG00000184937	Homo sapiens	WT1 transcription factor(WT1)
HNRNPA2B1	ENSG00000122566	Homo sapiens	heterogeneous nuclear ribonucleoprotein A2/B1(HNRNPA2B1)
SERBP1	ENSG00000142864	Homo sapiens	SERPINE1 mRNA binding protein 1(SERBP1)
AGGF1	ENSG00000164252	Homo sapiens	angiogenic factor with G-patch and FHA domains 1(AGGF1)
LAMTOR4	ENSG00000188186	Homo sapiens	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4(LAMTOR4)
TARDBP	ENSG00000120948	Homo sapiens	TAR DNA binding protein(TARDBP)
PUS10	ENSG00000162927	Homo sapiens	pseudouridine synthase 10(PUS10)
KDM1A	ENSG00000004487	Homo sapiens	lysine demethylase 1A(KDM1A)
FMR1	ENSG00000102081	Homo sapiens	fragile X messenger ribonucleoprotein 1(FMR1)
BCCIP	ENSG00000107949	Homo sapiens	BRCA2 and CDKN1A interacting protein(BCCIP)
HDLBP	ENSG00000115677	Homo sapiens	high density lipoprotein binding protein(HDLBP)
ETS2	ENSG00000157557	Homo sapiens	ETS proto-oncogene 2, transcription factor(ETS2)
FBL	ENSG00000105202	Homo sapiens	fibrillarin(FBL)
FBL	ENSG00000280548	Homo sapiens	fibrillarin(FBL)
ZFP36	ENSG00000128016	Homo sapiens	ZFP36 ring finger protein(ZFP36)
CCND2	ENSG00000118971	Homo sapiens	cyclin D2(CCND2)
DMBT1	ENSG00000187908	Homo sapiens	deleted in malignant brain tumors 1(DMBT1)
KHSRP	ENSG00000088247	Homo sapiens	KH-type splicing regulatory protein(KHSRP)
SACS	ENSG00000151835	Homo sapiens	sacsin molecular chaperone(SACS)
EP300	ENSG00000100393	Homo sapiens	E1A binding protein p300(EP300)
ARID2	ENSG00000189079	Homo sapiens	AT-rich interaction domain 2(ARID2)
RARS2	ENSG00000146282	Homo sapiens	arginyl-tRNA synthetase 2, mitochondrial(RARS2)
PNISR	ENSG00000132424	Homo sapiens	PNN interacting serine and arginine rich protein(PNISR)
NANOS3	ENSG00000187556	Homo sapiens	nanos C2HC-type zinc finger 3(NANOS3)
NANOS3	ENSG00000288505	Homo sapiens	nanos C2HC-type zinc finger 3(NANOS3)
PUS1	ENSG00000177192	Homo sapiens	pseudouridine synthase 1(PUS1)
FOXP3	ENSG00000049768	Homo sapiens	forkhead box P3(FOXP3)
ILF2	ENSG00000143621	Homo sapiens	interleukin enhancer binding factor 2(ILF2)
FOXP2	ENSG00000128573	Homo sapiens	forkhead box P2(FOXP2)
ILF3	ENSG00000129351	Homo sapiens	interleukin enhancer binding factor 3(ILF3)
HNRNPUL1	ENSG00000105323	Homo sapiens	heterogeneous nuclear ribonucleoprotein U like 1(HNRNPUL1)
DKC1	ENSG00000130826	Homo sapiens	dyskerin pseudouridine synthase 1(DKC1)
SRSF2	ENSG00000161547	Homo sapiens	serine and arginine rich splicing factor 2(SRSF2)
SBDS	ENSG00000126524	Homo sapiens	SBDS ribosome maturation factor(SBDS)
GEMIN5	ENSG00000082516	Homo sapiens	gem nuclear organelle associated protein 5(GEMIN5)
MATR3	ENSG00000280987	Homo sapiens	matrin 3(MATR3)
MATR3	ENSG00000015479	Homo sapiens	matrin 3(MATR3)
PPIG	ENSG00000138398	Homo sapiens	peptidylprolyl isomerase G(PPIG)
FKBP4	ENSG00000004478	Homo sapiens	FKBP prolyl isomerase 4(FKBP4)
SNRPA	ENSG00000077312	Homo sapiens	small nuclear ribonucleoprotein polypeptide A(SNRPA)
SRSF9	ENSG00000111786	Homo sapiens	serine and arginine rich splicing factor 9(SRSF9)
ANKRD17	ENSG00000132466	Homo sapiens	ankyrin repeat domain 17(ANKRD17)
FTO	ENSG00000140718	Homo sapiens	FTO alpha-ketoglutarate dependent dioxygenase(FTO)
DDX6	ENSG00000110367	Homo sapiens	DEAD-box helicase 6(DDX6)
DNMT1	ENSG00000130816	Homo sapiens	DNA methyltransferase 1(DNMT1)
KHDRBS2	ENSG00000112232	Homo sapiens	KH RNA binding domain containing, signal transduction associated 2(KHDRBS2)
DDX5	ENSG00000108654	Homo sapiens	DEAD-box helicase 5(DDX5)
YTHDC1	ENSG00000083896	Homo sapiens	YTH N6-methyladenosine RNA binding protein C1(YTHDC1)
YTHDC1	ENSG00000275272	Homo sapiens	YTH N6-methyladenosine RNA binding protein C1(YTHDC1)
DLX5	ENSG00000105880	Homo sapiens	distal-less homeobox 5(DLX5)
DLX6	ENSG00000006377	Homo sapiens	distal-less homeobox 6(DLX6)
ARHGAP18	ENSG00000146376	Homo sapiens	Rho GTPase activating protein 18(ARHGAP18)
PRPF8	ENSG00000274442	Homo sapiens	pre-mRNA processing factor 8(PRPF8)
PRPF8	ENSG00000174231	Homo sapiens	pre-mRNA processing factor 8(PRPF8)
ATXN3	ENSG00000066427	Homo sapiens	ataxin 3(ATXN3)
ZMAT3	ENSG00000172667	Homo sapiens	zinc finger matrin-type 3(ZMAT3)
G3BP1	ENSG00000145907	Homo sapiens	G3BP stress granule assembly factor 1(G3BP1)
SAFB2	ENSG00000130254	Homo sapiens	scaffold attachment factor B2(SAFB2)
SMN1	ENSG00000273772	Homo sapiens	survival of motor neuron 1, telomeric(SMN1)
SMN1	ENSG00000172062	Homo sapiens	survival of motor neuron 1, telomeric(SMN1)
SMN1	ENSG00000275349	Homo sapiens	survival of motor neuron 1, telomeric(SMN1)
SMN1	ENSG00000277773	Homo sapiens	survival of motor neuron 1, telomeric(SMN1)
CPSF4	ENSG00000160917	Homo sapiens	cleavage and polyadenylation specific factor 4(CPSF4)
CPSF7	ENSG00000149532	Homo sapiens	cleavage and polyadenylation specific factor 7(CPSF7)
TIA1	ENSG00000116001	Homo sapiens	TIA1 cytotoxic granule associated RNA binding protein(TIA1)
SMAD4	ENSG00000141646	Homo sapiens	SMAD family member 4(SMAD4)
DR1	ENSG00000117505	Homo sapiens	down-regulator of transcription 1(DR1)
CPSF6	ENSG00000111605	Homo sapiens	cleavage and polyadenylation specific factor 6(CPSF6)
SMAD3	ENSG00000166949	Homo sapiens	SMAD family member 3(SMAD3)
CPSF1	ENSG00000071894	Homo sapiens	cleavage and polyadenylation specific factor 1(CPSF1)
CPSF1	ENSG00000285049	Homo sapiens	cleavage and polyadenylation specific factor 1(CPSF1)
RBPMS	ENSG00000157110	Homo sapiens	RNA binding protein, mRNA processing factor(RBPMS)
SMURF1	ENSG00000198742	Homo sapiens	SMAD specific E3 ubiquitin protein ligase 1(SMURF1)
FUS	ENSG00000089280	Homo sapiens	FUS RNA binding protein(FUS)
ALYREF	ENSG00000183684	Homo sapiens	Aly/REF export factor(ALYREF)
CPSF3	ENSG00000119203	Homo sapiens	cleavage and polyadenylation specific factor 3(CPSF3)
TNFRSF9	ENSG00000049249	Homo sapiens	TNF receptor superfamily member 9(TNFRSF9)
LSM4	ENSG00000130520	Homo sapiens	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM4)
ANKHD1	ENSG00000131503	Homo sapiens	ankyrin repeat and KH domain containing 1(ANKHD1)
CLK3	ENSG00000179335	Homo sapiens	CDC like kinase 3(CLK3)
QKI	ENSG00000112531	Homo sapiens	QKI, KH domain containing RNA binding(QKI)
LIN28B	ENSG00000187772	Homo sapiens	lin-28 homolog B(LIN28B)
CNOT7	ENSG00000198791	Homo sapiens	CCR4-NOT transcription complex subunit 7(CNOT7)
LIN28A	ENSG00000131914	Homo sapiens	lin-28 homolog A(LIN28A)
CDK4	ENSG00000135446	Homo sapiens	cyclin dependent kinase 4(CDK4)
SP1	ENSG00000185591	Homo sapiens	Sp1 transcription factor(SP1)
CAPRIN1	ENSG00000135387	Homo sapiens	cell cycle associated protein 1(CAPRIN1)
UBA2	ENSG00000126261	Homo sapiens	ubiquitin like modifier activating enzyme 2(UBA2)
GRSF1	ENSG00000132463	Homo sapiens	G-rich RNA sequence binding factor 1(GRSF1)
EIF4G2	ENSG00000110321	Homo sapiens	eukaryotic translation initiation factor 4 gamma 2(EIF4G2)
CNIH4	ENSG00000143771	Homo sapiens	cornichon family member 4(CNIH4)
DDX3X	ENSG00000215301	Homo sapiens	DEAD-box helicase 3 X-linked(DDX3X)
CELF1	ENSG00000149187	Homo sapiens	CUGBP Elav-like family member 1(CELF1)
WDR4	ENSG00000160193	Homo sapiens	WD repeat domain 4(WDR4)
AKAP8L	ENSG00000011243	Homo sapiens	A-kinase anchoring protein 8 like(AKAP8L)
CELF4	ENSG00000101489	Homo sapiens	CUGBP Elav-like family member 4(CELF4)
DDX42	ENSG00000198231	Homo sapiens	DEAD-box helicase 42(DDX42)
DDX43	ENSG00000080007	Homo sapiens	DEAD-box helicase 43(DDX43)
ADAR	ENSG00000160710	Homo sapiens	adenosine deaminase RNA specific(ADAR)
HMGB1	ENSG00000189403	Homo sapiens	high mobility group box 1(HMGB1)
YBX1	ENSG00000065978	Homo sapiens	Y-box binding protein 1(YBX1)
ELAVL1	ENSG00000066044	Homo sapiens	ELAV like RNA binding protein 1(ELAVL1)
ELAVL2	ENSG00000107105	Homo sapiens	ELAV like RNA binding protein 2(ELAVL2)
RO60	ENSG00000116747	Homo sapiens	Ro60, Y RNA binding protein(RO60)
PTBP1	ENSG00000011304	Homo sapiens	polypyrimidine tract binding protein 1(PTBP1)
YWHAQ	ENSG00000134308	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta(YWHAQ)
SIN3B	ENSG00000127511	Homo sapiens	SIN3 transcription regulator family member B(SIN3B)
ZC3H7B	ENSG00000100403	Homo sapiens	zinc finger CCCH-type containing 7B(ZC3H7B)
WDR5	ENSG00000196363	Homo sapiens	WD repeat domain 5(WDR5)
DGCR8	ENSG00000128191	Homo sapiens	DGCR8 microprocessor complex subunit(DGCR8)
CCIN	ENSG00000185972	Homo sapiens	calicin(CCIN)
RBM5	ENSG00000003756	Homo sapiens	RNA binding motif protein 5(RBM5)
YWHAG	ENSG00000170027	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma(YWHAG)
RBM6	ENSG00000004534	Homo sapiens	RNA binding motif protein 6(RBM6)
DDX59	ENSG00000118197	Homo sapiens	DEAD-box helicase 59(DDX59)
EMX2	ENSG00000170370	Homo sapiens	empty spiracles homeobox 2(EMX2)
RBM15	ENSG00000162775	Homo sapiens	RNA binding motif protein 15(RBM15)
NCBP2	ENSG00000114503	Homo sapiens	nuclear cap binding protein subunit 2(NCBP2)
EED	ENSG00000074266	Homo sapiens	embryonic ectoderm development(EED)
DDX55	ENSG00000111364	Homo sapiens	DEAD-box helicase 55(DDX55)
DDX54	ENSG00000123064	Homo sapiens	DEAD-box helicase 54(DDX54)
LATS2	ENSG00000150457	Homo sapiens	large tumor suppressor kinase 2(LATS2)
CHMP3	ENSG00000115561	Homo sapiens	charged multivesicular body protein 3(CHMP3)
RBM20	ENSG00000203867	Homo sapiens	RNA binding motif protein 20(RBM20)
RBM22	ENSG00000086589	Homo sapiens	RNA binding motif protein 22(RBM22)
DCTN6	ENSG00000104671	Homo sapiens	dynactin subunit 6(DCTN6)
GTF2A1	ENSG00000165417	Homo sapiens	general transcription factor IIA subunit 1(GTF2A1)
DDX24	ENSG00000273761	Homo sapiens	DEAD-box helicase 24(DDX24)
DDX24	ENSG00000089737	Homo sapiens	DEAD-box helicase 24(DDX24)
SRSF1	ENSG00000136450	Homo sapiens	serine and arginine rich splicing factor 1(SRSF1)
LEF1	ENSG00000138795	Homo sapiens	lymphoid enhancer binding factor 1(LEF1)
PARN	ENSG00000140694	Homo sapiens	poly(A)-specific ribonuclease(PARN)
PARN	ENSG00000274829	Homo sapiens	poly(A)-specific ribonuclease(PARN)
RBM4B	ENSG00000173914	Homo sapiens	RNA binding motif protein 4B(RBM4B)
CSTF2T	ENSG00000177613	Homo sapiens	cleavage stimulation factor subunit 2 tau variant(CSTF2T)
U2AF1	ENSG00000160201	Homo sapiens	U2 small nuclear RNA auxiliary factor 1(U2AF1)
TOB2	ENSG00000183864	Homo sapiens	transducer of ERBB2, 2(TOB2)
HDAC9	ENSG00000048052	Homo sapiens	histone deacetylase 9(HDAC9)
TOB1	ENSG00000141232	Homo sapiens	transducer of ERBB2, 1(TOB1)
TBRG4	ENSG00000136270	Homo sapiens	transforming growth factor beta regulator 4(TBRG4)
MTA1	ENSG00000182979	Homo sapiens	metastasis associated 1(MTA1)
U2AF2	ENSG00000063244	Homo sapiens	U2 small nuclear RNA auxiliary factor 2(U2AF2)
DNAJB5	ENSG00000137094	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)
TRA2A	ENSG00000164548	Homo sapiens	transformer 2 alpha homolog(TRA2A)
FAM120A	ENSG00000048828	Homo sapiens	family with sequence similarity 120 member A(FAM120A)
E2F1	ENSG00000101412	Homo sapiens	E2F transcription factor 1(E2F1)
IGF2BP1	ENSG00000159217	Homo sapiens	insulin like growth factor 2 mRNA binding protein 1(IGF2BP1)
IGF2BP3	ENSG00000136231	Homo sapiens	insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)
E2F4	ENSG00000205250	Homo sapiens	E2F transcription factor 4(E2F4)
ZNF622	ENSG00000173545	Homo sapiens	zinc finger protein 622(ZNF622)
IGF2BP2	ENSG00000073792	Homo sapiens	insulin like growth factor 2 mRNA binding protein 2(IGF2BP2)
HNRNPA1	ENSG00000135486	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1(HNRNPA1)
SMNDC1	ENSG00000119953	Homo sapiens	survival motor neuron domain containing 1(SMNDC1)
RBM39	ENSG00000131051	Homo sapiens	RNA binding motif protein 39(RBM39)
SSB	ENSG00000138385	Homo sapiens	small RNA binding exonuclease protection factor La(SSB)
TAF15	ENSG00000276833	Homo sapiens	TATA-box binding protein associated factor 15(TAF15)
TAF15	ENSG00000270647	Homo sapiens	TATA-box binding protein associated factor 15(TAF15)
GPKOW	ENSG00000292204	Homo sapiens	G-patch domain and KOW motifs(GPKOW)
GPKOW	ENSG00000068394	Homo sapiens	G-patch domain and KOW motifs(GPKOW)
USF2	ENSG00000105698	Homo sapiens	upstream transcription factor 2, c-fos interacting(USF2)
TTC39A	ENSG00000085831	Homo sapiens	tetratricopeptide repeat domain 39A(TTC39A)
TNRC6C	ENSG00000078687	Homo sapiens	trinucleotide repeat containing adaptor 6C(TNRC6C)
REST	ENSG00000084093	Homo sapiens	RE1 silencing transcription factor(REST)
WEE1	ENSG00000166483	Homo sapiens	WEE1 G2 checkpoint kinase(WEE1)
ACIN1	ENSG00000100813	Homo sapiens	apoptotic chromatin condensation inducer 1(ACIN1)
EIF3H	ENSG00000147677	Homo sapiens	eukaryotic translation initiation factor 3 subunit H(EIF3H)
BUD13	ENSG00000137656	Homo sapiens	BUD13 homolog(BUD13)
VIM	ENSG00000026025	Homo sapiens	vimentin(VIM)
RBMX	ENSG00000147274	Homo sapiens	RNA binding motif protein X-linked(RBMX)
PPIL4	ENSG00000131013	Homo sapiens	peptidylprolyl isomerase like 4(PPIL4)
EIF3D	ENSG00000100353	Homo sapiens	eukaryotic translation initiation factor 3 subunit D(EIF3D)
TNRC6A	ENSG00000090905	Homo sapiens	trinucleotide repeat containing adaptor 6A(TNRC6A)
METAP2	ENSG00000111142	Homo sapiens	methionyl aminopeptidase 2(METAP2)
