,GO id,GO name,GO namespace,p-value,corrected p-value,cluster freq,background freq
14,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,6.088651922409754e-63,1.8578506565912962e-60,223/321 (69.47%),4982/19699 (25.29%)
15,GO:0009889,regulation of biosynthetic process,biological_process,1.3149842700980152e-61,3.761676877649135e-59,225/321 (70.09%),5162/19699 (26.20%)
16,GO:0060255,regulation of macromolecule metabolic process,biological_process,2.904109202254603e-59,7.818886952187834e-57,232/321 (72.27%),5674/19699 (28.80%)
17,GO:0070013,intracellular organelle lumen,cellular_component,6.135591492561417e-59,1.4780316979712425e-56,233/321 (72.59%),5749/19699 (29.18%)
18,GO:0043233,organelle lumen,cellular_component,6.135591492561417e-59,1.4780316979712425e-56,233/321 (72.59%),5749/19699 (29.18%)
19,GO:0010558,negative regulation of macromolecule biosynthetic process,biological_process,2.1322388006208596e-57,4.879628495220837e-55,145/321 (45.17%),2088/19699 (10.60%)
20,GO:0009890,negative regulation of biosynthetic process,biological_process,2.357766783969458e-56,5.1388088429658136e-54,146/321 (45.48%),2160/19699 (10.97%)
21,GO:0009892,negative regulation of metabolic process,biological_process,1.5722652073308564e-55,3.2710262972515134e-53,160/321 (49.84%),2679/19699 (13.60%)
22,GO:0010629,negative regulation of gene expression,biological_process,1.915458732811967e-55,3.811762878295814e-53,105/321 (32.71%),1026/19699 (5.21%)
23,GO:0019222,regulation of metabolic process,biological_process,4.2920509700637946e-55,8.185298870825828e-53,237/321 (73.83%),6232/19699 (31.64%)
24,GO:0080090,regulation of primary metabolic process,biological_process,9.865780610855357e-55,1.806227114235399e-52,216/321 (67.29%),5137/19699 (26.08%)
25,GO:0008380,RNA splicing,biological_process,4.780532031203589e-52,8.415575041084164e-50,69/321 (21.50%),383/19699 (1.94%)
26,GO:0043170,macromolecule metabolic process,biological_process,4.690673792314946e-51,7.951560721268706e-49,216/321 (67.29%),5381/19699 (27.32%)
27,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,5.975370518070261e-49,9.767596736145564e-47,183/321 (57.01%),3943/19699 (20.02%)
28,GO:0051252,regulation of RNA metabolic process,biological_process,7.194887337222594e-49,1.1355517014644073e-46,176/321 (54.83%),3645/19699 (18.50%)
29,GO:0061013,regulation of mRNA catabolic process,biological_process,1.2810172820662646e-48,1.954405366672431e-46,52/321 (16.20%),194/19699 (0.98%)
30,GO:1990904,ribonucleoprotein complex,cellular_component,1.5336516486508514e-48,2.264362450282241e-46,83/321 (25.86%),690/19699 (3.50%)
31,GO:0009058,biosynthetic process,biological_process,1.4000412921208061e-47,2.0024965606365405e-45,182/321 (56.70%),3981/19699 (20.21%)
32,GO:0043488,regulation of mRNA stability,biological_process,1.0435759549547653e-42,1.447408226008473e-40,46/321 (14.33%),174/19699 (0.88%)
33,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,8.977469960336241e-42,1.2085258826017345e-39,153/321 (47.66%),3099/19699 (15.73%)
34,GO:0006417,regulation of translation,biological_process,5.957714075949333e-41,7.790987807320028e-39,58/321 (18.07%),357/19699 (1.81%)
35,GO:0036464,cytoplasmic ribonucleoprotein granule,cellular_component,4.458864345796427e-40,5.668950586308401e-38,51/321 (15.89%),262/19699 (1.33%)
36,GO:0009893,positive regulation of metabolic process,biological_process,7.421472531282238e-40,9.18056210153481e-38,158/321 (49.22%),3418/19699 (17.35%)
37,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,8.146186168017938e-40,9.811866866057396e-38,120/321 (37.38%),1978/19699 (10.04%)
38,GO:0010494,cytoplasmic stress granule,cellular_component,2.0320472315156087e-38,2.3847897893966517e-36,35/321 (10.90%),95/19699 (0.48%)
39,GO:0140513,nuclear protein-containing complex,cellular_component,1.1622642848833974e-37,1.3299209079778276e-35,95/321 (29.60%),1281/19699 (6.50%)
40,GO:0044238,primary metabolic process,biological_process,9.464567024866043e-36,1.0565688603124849e-33,219/321 (68.22%),6756/19699 (34.30%)
41,GO:0043231,intracellular membrane-bounded organelle,cellular_component,2.4396991016325227e-35,2.6586911400409655e-33,297/321 (92.52%),12381/19699 (62.85%)
42,GO:0048523,negative regulation of cellular process,biological_process,2.591925957187432e-35,2.7588942107085757e-33,185/321 (57.63%),4978/19699 (25.27%)
43,GO:0048519,negative regulation of biological process,biological_process,1.5599987381516122e-34,1.6227532328454386e-32,188/321 (58.57%),5192/19699 (26.36%)
44,GO:0043232,intracellular membraneless organelle,cellular_component,2.9673726055801915e-33,3.0181476479423417e-31,191/321 (59.50%),5454/19699 (27.69%)
45,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,biological_process,4.785117337144241e-33,4.76119175045852e-31,97/321 (30.22%),1522/19699 (7.73%)
46,GO:0009891,positive regulation of biosynthetic process,biological_process,7.187196354189976e-33,6.99910589641011e-31,128/321 (39.88%),2629/19699 (13.35%)
47,GO:0009894,regulation of catabolic process,biological_process,8.213864901378885e-33,7.832262427835657e-31,80/321 (24.92%),1027/19699 (5.21%)
48,GO:0043229,intracellular organelle,cellular_component,1.2943717429735588e-32,1.2090488709367303e-30,305/321 (95.02%),13489/19699 (68.48%)
49,GO:0061014,positive regulation of mRNA catabolic process,biological_process,1.5726160667877339e-32,1.4395727475374917e-30,31/321 (9.66%),93/19699 (0.47%)
50,GO:0048522,positive regulation of cellular process,biological_process,6.932539008877733e-31,6.221613930124192e-29,193/321 (60.12%),5771/19699 (29.30%)
51,GO:0008152,metabolic process,biological_process,1.6859982928774204e-30,1.484002728173068e-28,225/321 (70.09%),7624/19699 (38.70%)
52,GO:0016604,nuclear body,cellular_component,3.928295473135687e-29,3.392416675573969e-27,70/321 (21.81%),879/19699 (4.46%)
53,GO:0010628,positive regulation of gene expression,biological_process,7.386624144878255e-29,6.2608479094644034e-27,80/321 (24.92%),1172/19699 (5.95%)
54,GO:0048518,positive regulation of biological process,biological_process,7.618985741267881e-29,6.340381406869653e-27,195/321 (60.75%),6073/19699 (30.83%)
55,GO:0043227,membrane-bounded organelle,cellular_component,1.8487233404027656e-28,1.5110012016113318e-26,300/321 (93.46%),13460/19699 (68.33%)
56,GO:0043226,organelle,cellular_component,1.461689151528254e-27,1.173710745007863e-25,307/321 (95.64%),14296/19699 (72.57%)
57,GO:0051246,regulation of protein metabolic process,biological_process,1.1041998454903385e-26,8.713659815188412e-25,87/321 (27.10%),1488/19699 (7.55%)
58,GO:0005622,intracellular anatomical structure,cellular_component,1.5130369448759615e-26,1.173757643508013e-24,313/321 (97.51%),15125/19699 (76.78%)
59,GO:0003727,single-stranded RNA binding,molecular_function,4.965392554134198e-26,3.7877669533787044e-24,26/321 (8.10%),87/19699 (0.44%)
60,GO:0000932,P-body,cellular_component,1.16641982589638e-25,8.751973021520871e-24,27/321 (8.41%),100/19699 (0.51%)
61,GO:0061157,mRNA destabilization,biological_process,1.2693722911661371e-25,9.235632786771369e-24,25/321 (7.79%),80/19699 (0.41%)
62,GO:0005681,spliceosomal complex,cellular_component,1.2712363241568632e-25,9.235632786771369e-24,35/321 (10.90%),205/19699 (1.04%)
63,GO:0035198,miRNA binding,molecular_function,3.386319034251083e-24,2.421747221838626e-22,18/321 (5.61%),33/19699 (0.17%)
64,GO:0140517,protein-RNA adaptor activity,molecular_function,3.761581798502601e-24,2.6487322910379084e-22,16/321 (4.98%),23/19699 (0.12%)
65,GO:0017148,negative regulation of translation,biological_process,6.612898451149898e-24,4.585944880441376e-22,28/321 (8.72%),127/19699 (0.64%)
66,GO:0005515,protein binding,molecular_function,1.17383575446451e-23,8.018874997289645e-22,303/321 (94.39%),14356/19699 (72.88%)
67,GO:0022613,ribonucleoprotein complex biogenesis,biological_process,1.2513645537344575e-23,8.4227875918273705e-22,46/321 (14.33%),449/19699 (2.28%)
68,GO:0032991,protein-containing complex,cellular_component,1.985183752726418e-23,1.3168385559751905e-21,182/321 (56.70%),5930/19699 (30.10%)
69,GO:0005488,binding,molecular_function,2.3762070826446896e-23,1.5536999738949635e-21,320/321 (99.69%),16559/19699 (84.06%)
70,GO:0006403,RNA localization,biological_process,9.077935835336816e-23,5.8520721575121984e-21,31/321 (9.66%),182/19699 (0.92%)
71,GO:0005730,nucleolus,cellular_component,1.3914383569126271e-22,8.845296332762631e-21,67/321 (20.87%),1041/19699 (5.28%)
72,GO:0003677,DNA binding,molecular_function,1.6177814758939863e-22,1.0143268239954486e-20,108/321 (33.64%),2514/19699 (12.76%)
73,GO:0036002,pre-mRNA binding,molecular_function,1.8642013333616438e-22,1.1530337165940869e-20,18/321 (5.61%),39/19699 (0.20%)
74,GO:0031123,RNA 3'-end processing,biological_process,8.582920875038288e-22,5.2378705126733653e-20,23/321 (7.17%),87/19699 (0.44%)
75,GO:0016607,nuclear speck,cellular_component,1.034973385601025e-21,6.232991034073541e-20,43/321 (13.40%),430/19699 (2.18%)
76,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",biological_process,1.5159311921656623e-21,8.975472732555855e-20,20/321 (6.23%),59/19699 (0.30%)
77,GO:0140098,"catalytic activity, acting on RNA",molecular_function,1.5295758644075958e-21,8.975472732555855e-20,42/321 (13.08%),412/19699 (2.09%)
78,GO:0009896,positive regulation of catabolic process,biological_process,9.536234601174019e-21,5.506533147908101e-19,46/321 (14.33%),527/19699 (2.68%)
79,GO:0022618,protein-RNA complex assembly,biological_process,9.624702902177148e-21,5.506533147908101e-19,30/321 (9.35%),195/19699 (0.99%)
80,GO:0003725,double-stranded RNA binding,molecular_function,2.5855409430847474e-20,1.4609902341356653e-18,21/321 (6.54%),77/19699 (0.39%)
81,GO:0050794,regulation of cellular process,biological_process,1.6666199152142784e-19,9.302584575531405e-18,261/321 (81.31%),11390/19699 (57.82%)
82,GO:0051248,negative regulation of protein metabolic process,biological_process,1.7600950483743684e-19,9.705969923384921e-18,45/321 (14.02%),541/19699 (2.75%)
83,GO:0060090,molecular adaptor activity,molecular_function,5.485043100411756e-19,2.988695508402929e-17,71/321 (22.12%),1350/19699 (6.85%)
84,GO:0006401,RNA catabolic process,biological_process,6.450740121930401e-19,3.4735338280088753e-17,28/321 (8.72%),190/19699 (0.96%)
85,GO:0035194,regulatory ncRNA-mediated post-transcriptional gene silencing,biological_process,7.512515486390593e-19,3.998230625722063e-17,16/321 (4.98%),40/19699 (0.20%)
86,GO:0045727,positive regulation of translation,biological_process,9.96568894976683e-19,5.2428687727681365e-17,24/321 (7.48%),130/19699 (0.66%)
87,GO:0070918,regulatory ncRNA processing,biological_process,1.442790270844618e-18,7.504148942790701e-17,18/321 (5.61%),59/19699 (0.30%)
88,GO:0045893,positive regulation of DNA-templated transcription,biological_process,5.701548272771171e-18,2.932133308367826e-16,78/321 (24.30%),1664/19699 (8.45%)
89,GO:0006355,regulation of DNA-templated transcription,biological_process,6.028464234359883e-18,3.065808977851687e-16,119/321 (37.07%),3375/19699 (17.13%)
90,GO:0030674,protein-macromolecule adaptor activity,molecular_function,7.093042213841909e-18,3.56756639700598e-16,65/321 (20.25%),1207/19699 (6.13%)
91,GO:0045892,negative regulation of DNA-templated transcription,biological_process,9.288698484165987e-18,4.621127495872578e-16,67/321 (20.87%),1282/19699 (6.51%)
92,GO:1902373,negative regulation of mRNA catabolic process,biological_process,2.2939167968341338e-17,1.1289523848505194e-15,19/321 (5.92%),79/19699 (0.40%)
93,GO:0050789,regulation of biological process,biological_process,7.927001841856009e-17,3.85977525852925e-15,261/321 (81.31%),11789/19699 (59.85%)
94,GO:0005694,chromosome,cellular_component,1.2405781625984837e-16,5.976975000224484e-15,84/321 (26.17%),1991/19699 (10.11%)
95,GO:0006357,regulation of transcription by RNA polymerase II,biological_process,2.0321288421293795e-16,9.68859761502726e-15,99/321 (30.84%),2631/19699 (13.36%)
96,GO:0000785,chromatin,cellular_component,5.141478068981821e-16,2.426035579559773e-14,67/321 (20.87%),1388/19699 (7.05%)
97,GO:0005829,cytosol,cellular_component,7.80657602357817e-16,3.64598963876707e-14,159/321 (49.53%),5605/19699 (28.45%)
98,GO:0009895,negative regulation of catabolic process,biological_process,1.1420943252807126e-15,5.2801674008180015e-14,33/321 (10.28%),362/19699 (1.84%)
99,GO:0045944,positive regulation of transcription by RNA polymerase II,biological_process,5.2394706425698365e-15,2.398105713104214e-13,61/321 (19.00%),1237/19699 (6.28%)
100,GO:0003724,RNA helicase activity,molecular_function,5.352351762114862e-15,2.4255162391286853e-13,17/321 (5.30%),77/19699 (0.39%)
101,GO:0035195,miRNA-mediated post-transcriptional gene silencing,biological_process,6.880343311146857e-15,3.087385425011683e-13,12/321 (3.74%),28/19699 (0.14%)
102,GO:0008186,"ATP-dependent activity, acting on RNA",molecular_function,8.468001549677571e-15,3.7629168051334216e-13,17/321 (5.30%),79/19699 (0.40%)
103,GO:0035925,mRNA 3'-UTR AU-rich region binding,molecular_function,1.1567120020015729e-14,5.090645031885768e-13,12/321 (3.74%),29/19699 (0.15%)
104,GO:0099080,supramolecular complex,cellular_component,1.469853171881315e-14,6.407159969238836e-13,66/321 (20.56%),1449/19699 (7.36%)
105,GO:1990247,N6-methyladenosine-containing RNA reader activity,molecular_function,1.5272502014153397e-14,6.594551105545292e-13,9/321 (2.80%),12/19699 (0.06%)
106,GO:1902494,catalytic complex,cellular_component,1.6210107225840083e-14,6.933986988100006e-13,75/321 (23.36%),1799/19699 (9.13%)
107,GO:0043565,sequence-specific DNA binding,molecular_function,3.018899740535779e-14,1.2793985289289132e-12,70/321 (21.81%),1624/19699 (8.24%)
108,GO:0140297,DNA-binding transcription factor binding,molecular_function,3.4204042729950186e-14,1.4362559961007523e-12,36/321 (11.21%),486/19699 (2.47%)
109,GO:0000122,negative regulation of transcription by RNA polymerase II,biological_process,4.946274944186562e-14,2.0581000381401723e-12,51/321 (15.89%),950/19699 (4.82%)
110,GO:0061158,3'-UTR-mediated mRNA destabilization,biological_process,9.314525824442506e-14,3.84077339625886e-12,10/321 (3.12%),19/19699 (0.10%)
111,GO:0004386,helicase activity,molecular_function,1.1024019549660299e-13,4.505083703463856e-12,21/321 (6.54%),156/19699 (0.79%)
112,GO:0034655,nucleobase-containing compound catabolic process,biological_process,1.5459508872509044e-13,6.261785142431318e-12,30/321 (9.35%),353/19699 (1.79%)
113,GO:0048025,"negative regulation of mRNA splicing, via spliceosome",biological_process,3.4551224666944945e-13,1.3872013622860264e-11,10/321 (3.12%),21/19699 (0.11%)
114,GO:0043021,ribonucleoprotein complex binding,molecular_function,9.75976039932827e-13,3.8843846389326516e-11,21/321 (6.54%),174/19699 (0.88%)
115,GO:0006325,chromatin organization,biological_process,1.0618550518019728e-12,4.189750493187611e-11,45/321 (14.02%),825/19699 (4.19%)
116,GO:0010586,miRNA metabolic process,biological_process,1.0887731913534803e-12,4.259243501559726e-11,10/321 (3.12%),23/19699 (0.12%)
117,GO:0000380,"alternative mRNA splicing, via spliceosome",biological_process,4.840592664044886e-12,1.8775756460452073e-10,10/321 (3.12%),26/19699 (0.13%)
118,GO:0005667,transcription regulator complex,cellular_component,6.8566181429400244e-12,2.6372051462383606e-10,34/321 (10.59%),522/19699 (2.65%)
119,GO:0050793,regulation of developmental process,biological_process,1.0913760035809709e-11,4.16268997365842e-10,84/321 (26.17%),2439/19699 (12.38%)
120,GO:0016442,RISC complex,cellular_component,1.2572180852523446e-11,4.716628832950804e-10,8/321 (2.49%),14/19699 (0.07%)
121,GO:0031054,pre-miRNA processing,biological_process,1.2572180852523446e-11,4.716628832950804e-10,8/321 (2.49%),14/19699 (0.07%)
122,GO:1990837,sequence-specific double-stranded DNA binding,molecular_function,3.0279909403997793e-11,1.126757279204048e-09,61/321 (19.00%),1511/19699 (7.67%)
123,GO:0006338,chromatin remodeling,biological_process,3.145923667386692e-11,1.161201018195878e-09,37/321 (11.53%),645/19699 (3.27%)
124,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,cellular_component,7.6407971506096e-11,2.7977542846672113e-09,9/321 (2.80%),24/19699 (0.12%)
125,GO:0003690,double-stranded DNA binding,molecular_function,1.2386540921849264e-10,4.499460142801911e-09,62/321 (19.31%),1605/19699 (8.15%)
126,GO:0035278,miRNA-mediated gene silencing by inhibition of translation,biological_process,1.730683319909232e-10,6.237273665531146e-09,8/321 (2.49%),18/19699 (0.09%)
127,GO:2000637,positive regulation of miRNA-mediated gene silencing,biological_process,2.1111019479341888e-10,7.548838762261549e-09,7/321 (2.18%),12/19699 (0.06%)
128,GO:0003674,molecular_function,molecular_function,2.1510002693117731e-10,7.600373395542923e-09,320/321 (99.69%),18202/19699 (92.40%)
129,GO:0040029,epigenetic regulation of gene expression,biological_process,2.158725237973738e-10,7.600373395542923e-09,23/321 (7.17%),279/19699 (1.42%)
130,GO:0060213,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,biological_process,4.5102930135008886e-10,1.575848177312486e-08,7/321 (2.18%),13/19699 (0.07%)
131,GO:0140110,transcription regulator activity,molecular_function,5.408858951677528e-10,1.8754808652900037e-08,68/321 (21.18%),1919/19699 (9.74%)
132,GO:0051052,regulation of DNA metabolic process,biological_process,5.910161738161313e-10,2.033895509440927e-08,30/321 (9.35%),491/19699 (2.49%)
133,GO:0000976,transcription cis-regulatory region binding,molecular_function,9.154617428477017e-10,3.1269167141895e-08,56/321 (17.45%),1440/19699 (7.31%)
134,GO:2000628,regulation of miRNA metabolic process,biological_process,9.937355492956215e-10,3.3691315623155997e-08,13/321 (4.05%),84/19699 (0.43%)
135,GO:0001046,core promoter sequence-specific DNA binding,molecular_function,1.3670238514820989e-09,4.600638358995269e-08,10/321 (3.12%),43/19699 (0.22%)
136,GO:0044085,cellular component biogenesis,biological_process,1.5419711164729356e-09,5.151534160654472e-08,85/321 (26.48%),2737/19699 (13.89%)
137,GO:0065003,protein-containing complex assembly,biological_process,1.6566377957996981e-09,5.494515356068999e-08,51/321 (15.89%),1263/19699 (6.41%)
138,GO:0007275,multicellular organism development,biological_process,1.7432375034774947e-09,5.740142484472298e-08,111/321 (34.58%),4016/19699 (20.39%)
139,GO:0045595,regulation of cell differentiation,biological_process,1.8793800474980233e-09,6.144230340998895e-08,58/321 (18.07%),1551/19699 (7.87%)
140,GO:0006351,DNA-templated transcription,biological_process,2.193806874279245e-09,7.121314938706457e-08,32/321 (9.97%),583/19699 (2.96%)
141,GO:0042127,regulation of cell population proliferation,biological_process,2.5791252206921783e-09,8.313138123315564e-08,60/321 (18.69%),1648/19699 (8.37%)
142,GO:0048027,mRNA 5'-UTR binding,molecular_function,2.6712143138579297e-09,8.549753786383038e-08,8/321 (2.49%),24/19699 (0.12%)
143,GO:0070922,RISC complex assembly,biological_process,3.5524724769266114e-09,1.1291435088120208e-07,6/321 (1.87%),10/19699 (0.05%)
144,GO:0140694,membraneless organelle assembly,biological_process,4.226006126166076e-09,1.3339606923766985e-07,24/321 (7.48%),353/19699 (1.79%)
145,GO:2000630,positive regulation of miRNA metabolic process,biological_process,4.397483076029341e-09,1.3785808245881024e-07,11/321 (3.43%),62/19699 (0.31%)
146,GO:0016043,cellular component organization,biological_process,4.4884467022115e-09,1.3975252078926554e-07,141/321 (43.93%),5674/19699 (28.80%)
147,GO:2000767,positive regulation of cytoplasmic translation,biological_process,4.832673643913314e-09,1.494536977580489e-07,7/321 (2.18%),17/19699 (0.09%)
148,GO:0060284,regulation of cell development,biological_process,6.727500102217933e-09,2.066561608580636e-07,38/321 (11.84%),819/19699 (4.16%)
149,GO:0009615,response to virus,biological_process,7.636208079810184e-09,2.326759124317488e-07,25/321 (7.79%),393/19699 (2.00%)
150,GO:0070934,CRD-mediated mRNA stabilization,biological_process,7.708391862700017e-09,2.326759124317488e-07,6/321 (1.87%),11/19699 (0.06%)
151,GO:0034063,stress granule assembly,biological_process,7.727056737956263e-09,2.326759124317488e-07,8/321 (2.49%),27/19699 (0.14%)
152,GO:2000765,regulation of cytoplasmic translation,biological_process,7.794305027714099e-09,2.3316688961991788e-07,9/321 (2.80%),38/19699 (0.19%)
153,GO:0006446,regulation of translational initiation,biological_process,1.1304073920531141e-08,3.3596588528747426e-07,12/321 (3.74%),84/19699 (0.43%)
154,GO:0003714,transcription corepressor activity,molecular_function,1.2147585475137382e-08,3.5671149917846006e-07,18/321 (5.61%),211/19699 (1.07%)
155,GO:0051247,positive regulation of protein metabolic process,biological_process,1.2157962392798726e-08,3.5671149917846006e-07,37/321 (11.53%),801/19699 (4.07%)
156,GO:0032502,developmental process,biological_process,1.223959439073277e-08,3.568192581298337e-07,142/321 (44.24%),5811/19699 (29.50%)
157,GO:0008187,poly-pyrimidine tract binding,molecular_function,1.4520918812665358e-08,4.2064712282005917e-07,8/321 (2.49%),29/19699 (0.15%)
158,GO:1900153,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",biological_process,1.5205673530606623e-08,4.349772984349157e-07,6/321 (1.87%),12/19699 (0.06%)
159,GO:0031126,sno(s)RNA 3'-end processing,biological_process,1.5205673530606623e-08,4.349772984349157e-07,6/321 (1.87%),12/19699 (0.06%)
160,GO:0120114,Sm-like protein family complex,cellular_component,1.6986622563780256e-08,4.829054128846102e-07,12/321 (3.74%),87/19699 (0.44%)
161,GO:1902895,positive regulation of miRNA transcription,biological_process,2.1048050733297433e-08,5.946723963351997e-07,10/321 (3.12%),56/19699 (0.28%)
162,GO:1990841,promoter-specific chromatin binding,molecular_function,2.2621507287906996e-08,6.352063733542964e-07,11/321 (3.43%),72/19699 (0.37%)
163,GO:0042826,histone deacetylase binding,molecular_function,2.5399920536707717e-08,7.088746115640928e-07,14/321 (4.36%),129/19699 (0.65%)
164,GO:0032204,regulation of telomere maintenance,biological_process,2.577927294353054e-08,7.151014076517532e-07,13/321 (4.05%),109/19699 (0.55%)
165,GO:0006376,mRNA splice site recognition,biological_process,2.594199310748624e-08,7.152801352588223e-07,8/321 (2.49%),31/19699 (0.16%)
166,GO:0031053,primary miRNA processing,biological_process,2.785251144139793e-08,7.588151480195138e-07,6/321 (1.87%),13/19699 (0.07%)
167,GO:0097157,pre-mRNA intronic binding,molecular_function,2.785251144139793e-08,7.588151480195138e-07,6/321 (1.87%),13/19699 (0.07%)
168,GO:0016363,nuclear matrix,cellular_component,2.8052318317245378e-08,7.597364552546277e-07,14/321 (4.36%),130/19699 (0.66%)
169,GO:0043933,protein-containing complex organization,biological_process,2.991500832031518e-08,8.021308987321686e-07,52/321 (16.20%),1420/19699 (7.21%)
170,GO:0045182,translation regulator activity,molecular_function,2.996818520498161e-08,8.021308987321686e-07,10/321 (3.12%),58/19699 (0.29%)
171,GO:2000026,regulation of multicellular organismal development,biological_process,4.2806072538683384e-08,1.1390895000555455e-06,51/321 (15.89%),1394/19699 (7.08%)
172,GO:0140693,molecular condensate scaffold activity,molecular_function,4.697821720372313e-08,1.2428861279852069e-06,9/321 (2.80%),46/19699 (0.23%)
173,GO:0051094,positive regulation of developmental process,biological_process,4.7844555577621535e-08,1.257361537160797e-06,49/321 (15.26%),1316/19699 (6.68%)
174,GO:0043144,sno(s)RNA processing,biological_process,4.8074780206060625e-08,1.257361537160797e-06,6/321 (1.87%),14/19699 (0.07%)
175,GO:0019899,enzyme binding,molecular_function,4.950733597071708e-08,1.2826150832902134e-06,67/321 (20.87%),2099/19699 (10.66%)
176,GO:0015030,Cajal body,cellular_component,4.9600801778974824e-08,1.2826150832902134e-06,10/321 (3.12%),61/19699 (0.31%)
177,GO:0001503,ossification,biological_process,5.084427893820505e-08,1.3073835095514862e-06,20/321 (6.23%),285/19699 (1.45%)
178,GO:0017069,snRNA binding,molecular_function,5.727926818774144e-08,1.4646212876831987e-06,9/321 (2.80%),47/19699 (0.24%)
179,GO:0042382,paraspeckles,cellular_component,5.992210553274259e-08,1.5069421814470485e-06,5/321 (1.56%),8/19699 (0.04%)
180,GO:0002151,G-quadruplex RNA binding,molecular_function,5.992210553274259e-08,1.5069421814470485e-06,5/321 (1.56%),8/19699 (0.04%)
181,GO:0070578,RISC-loading complex,cellular_component,5.992210553274259e-08,1.5069421814470485e-06,5/321 (1.56%),8/19699 (0.04%)
182,GO:0043067,regulation of programmed cell death,biological_process,6.38127696711339e-08,1.5960166490971578e-06,53/321 (16.51%),1496/19699 (7.59%)
183,GO:0050792,regulation of viral process,biological_process,6.590961575235723e-08,1.6395016918398861e-06,14/321 (4.36%),139/19699 (0.71%)
184,GO:0110104,mRNA alternative polyadenylation,biological_process,6.92194875795331e-08,1.712527538656881e-06,4/321 (1.25%),4/19699 (0.02%)
185,GO:0019904,protein domain specific binding,molecular_function,7.287376329011634e-08,1.7932430891336692e-06,31/321 (9.66%),641/19699 (3.25%)
186,GO:0045814,"negative regulation of gene expression, epigenetic",biological_process,7.628955308831765e-08,1.8672582058033682e-06,16/321 (4.98%),187/19699 (0.95%)
187,GO:0006405,RNA export from nucleus,biological_process,7.966097503722547e-08,1.9394057592839414e-06,11/321 (3.43%),81/19699 (0.41%)
188,GO:0009987,cellular process,biological_process,8.21758259693105e-08,1.9900463251933025e-06,289/321 (90.03%),15553/19699 (78.95%)
189,GO:0045597,positive regulation of cell differentiation,biological_process,8.263784829721196e-08,1.990702271875469e-06,37/321 (11.53%),863/19699 (4.38%)
190,GO:0001223,transcription coactivator binding,molecular_function,8.392389979851437e-08,2.011097850145551e-06,9/321 (2.80%),49/19699 (0.25%)
191,GO:0003697,single-stranded DNA binding,molecular_function,9.082591132304601e-08,2.165157271487404e-06,13/321 (4.05%),121/19699 (0.61%)
192,GO:0008143,poly(A) binding,molecular_function,1.0678039861432753e-07,2.5322999194703478e-06,7/321 (2.18%),25/19699 (0.13%)
193,GO:0033962,P-body assembly,biological_process,1.2471548638803964e-07,2.927296313836192e-06,6/321 (1.87%),16/19699 (0.08%)
